1.1.1,1.1.1,0.98226607
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,1
5.3.7,5.3.7,1
6.1.8,6.1.8,1
7.1.9,7.1.9,1
7.2.10,7.2.10,1
7.3.11,7.3.11,1
8.1.12,8.1.12,1
9.1.13,9.1.13,1
10.1.14,10.1.14,1
11.1.15,11.1.15,1
12.1.16,12.1.16,0.9697465
13.1.17,13.1.17,1
13.2.18,13.2.18,1
14.1.19,14.1.19,0.97460103
15.1.20,15.1.20,1
16.1.21,16.1.21,1
17.1.22,17.1.22,1
17.2.23,17.2.23,1
18.1.24,18.1.24,1
18.2.25,18.2.25,1
18.3.26,18.3.26,1
19.1.27,19.1.27,1
19.2.28,19.2.28,1
20.1.29,20.1.29,1
21.1.30,21.1.30,1
21.2.31,21.2.31,1
21.3.32,21.3.32,1
21.4.33,21.4.33,1
22.1.34,22.1.34,1
23.1.35,23.1.35,1
24.1.36,24.1.36,1
24.2.37,24.2.37,1
25.1.38,25.1.38,1
26.1.39,26.1.39,1
26.2.40,26.2.40,1
27.1.41,27.1.41,1
27.2.42,27.2.42,1
