1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
6.1.6,6.1.6,1
6.2.7,6.2.7,1
6.3.8,6.3.8,1
6.4.9,6.4.9,1
6.5.10,6.5.10,1
6.6.11,6.6.11,1
7.1.12,7.1.12,1
8.1.13,8.1.13,1
9.1.14,9.1.14,1
10.1.15,10.1.15,1
10.2.16,10.2.16,1
10.3.17,10.3.17,1
11.1.18,11.1.18,1
12.1.19,12.1.19,1
13.1.20,13.1.20,1
14.1.21,14.1.21,1
15.1.22,15.1.22,1
16.1.23,16.1.23,1
16.2.24,16.2.24,1
17.1.25,17.1.25,1
18.1.26,18.1.26,1
18.2.27,18.2.27,1
18.3.28,18.3.28,1
19.1.29,19.1.29,1
20.1.30,20.1.30,1
20.2.31,20.2.31,1
20.3.32,20.3.32,1
21.1.33,21.1.33,1
22.1.34,22.1.34,1
23.1.35,23.1.35,1
24.1.36,24.1.36,1
25.1.37,25.1.37,1
26.1.38,26.1.38,1
27.1.39,27.1.39,1
28.1.40,28.1.40,1
28.2.41,28.2.41,1
28.3.42,28.3.42,1
29.1.43,29.1.43,0.9328029
30.1.44,30.1.44,1
31.1.45,31.1.45,0.9701849
32.1.46,32.1.46,1
32.2.47,32.2.47,1
32.3.48,32.3.48,1
33.1.49,33.1.49,0.9668861
34.1.50,34.1.50,1
35.1.51,35.1.51,1
36.1.52,36.1.52,1
37.1.53,37.1.53,1
37.2.54,37.2.54,1
37.3.55,37.3.55,1
37.4.56,37.4.56,1
37.5.57,37.5.57,1
38.1.58,38.1.58,1
39.1.59,39.1.59,1
39.2.60,39.2.60,1
39.3.61,39.3.61,1
39.4.62,39.4.62,1
39.5.63,39.5.63,1
39.6.64,39.6.64,1
39.7.65,39.7.65,1
39.8.66,39.8.66,1
40.1.67,40.1.67,1
41.1.68,41.1.68,1
41.2.69,41.2.69,1
41.3.70,41.3.70,1
41.4.71,41.4.71,1
41.5.72,41.5.72,1
41.6.73,41.6.73,1
41.7.74,41.7.74,1
41.8.75,41.8.75,1
42.1.76,42.1.76,1
43.1.77,43.1.77,1
44.1.78,44.1.78,1
44.2.79,44.2.79,1
44.3.80,44.3.80,1
45.1.81,45.1.81,1
46.1.82,46.1.82,1
46.2.83,46.2.83,1
46.3.84,46.3.84,1
46.4.85,46.4.85,1
46.5.86,46.5.86,1
46.6.87,46.6.87,1
46.7.88,46.7.88,1
47.1.89,47.1.89,1
48.1.90,48.1.90,1
48.2.91,48.2.91,1
48.3.92,48.3.92,1
48.4.93,48.4.93,1
48.5.94,48.5.94,1
48.6.95,48.6.95,1
48.7.96,48.7.96,1
48.8.97,48.8.97,1
48.9.98,48.9.98,1
