1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,_,0
4.1.8,3.1.7,1
5.1.9,4.1.8,1
5.2.10,4.2.9,1
5.3.11,4.3.10,1
6.1.12,5.1.11,1
7.1.13,6.1.12,1
8.1.14,7.1.13,1
9.1.15,8.1.14,1
9.2.16,8.2.15,1
9.3.17,8.3.16,1
9.4.18,8.4.17,1
9.5.19,8.5.18,1
9.6.20,8.6.19,1
9.7.21,8.7.20,1
9.8.22,8.8.21,1
9.9.23,8.9.22,1
10.1.24,9.1.23,1
10.2.25,9.2.24,1
10.3.26,9.3.25,1
11.1.27,10.1.26,1
11.2.28,10.2.27,1
12.1.29,11.1.28,1
13.1.30,12.1.29,1
14.1.31,13.1.30,1
14.2.32,13.2.31,1
14.3.33,13.3.32,1
15.1.34,14.1.33,1
15.2.35,14.2.34,1
15.3.36,14.3.35,1
15.4.37,14.4.36,1
15.5.38,14.5.37,1
15.6.39,14.6.38,1
15.7.40,14.7.39,1
15.8.41,14.8.40,1
15.9.42,14.9.41,1
15.10.43,14.10.42,1
15.11.44,14.11.43,1
15.12.45,14.12.44,1
15.13.46,14.13.45,1
15.14.47,14.14.46,1
15.15.48,14.15.47,1
15.16.49,14.16.48,1
15.17.50,14.17.49,1
15.18.51,14.18.50,1
15.19.52,14.19.51,1
16.1.53,15.1.52,1
17.1.54,16.1.53,1
17.2.55,16.2.54,1
18.1.56,17.1.55,1
19.1.57,18.1.56,1
20.1.58,19.1.57,1
21.1.59,20.1.58,1
22.1.60,21.1.59,1
22.2.61,21.2.60,1
22.3.62,21.3.61,1
23.1.63,22.1.62,1
23.2.64,22.2.63,1
23.3.65,22.3.64,1
23.4.66,22.4.65,1
23.5.67,22.5.66,1
23.6.68,22.6.67,1
23.7.69,22.7.68,1
23.8.70,22.8.69,1
23.9.71,22.9.70,1
23.10.72,22.10.71,1
23.11.73,22.11.72,1
23.12.74,22.12.73,1
23.13.75,22.13.74,1
23.14.76,22.14.75,1
23.15.77,22.15.76,1
23.16.78,22.16.77,1
23.17.79,22.17.78,1
23.18.80,22.18.79,1
23.19.81,22.19.80,1
23.20.82,22.20.81,1
24.1.83,23.1.82,1
24.2.84,23.2.83,1
25.1.85,24.1.84,1
25.2.86,24.2.85,1
25.3.87,24.3.86,1
25.4.88,24.4.87,1
26.1.89,25.1.88,1
26.2.90,25.2.89,1
26.3.91,25.3.90,1
26.4.92,25.4.91,1
26.5.93,25.5.92,1
27.1.94,26.1.93,1
28.1.95,27.1.94,1
29.1.96,28.1.95,1
29.2.97,28.2.96,1
29.3.98,28.3.97,1
29.4.99,28.4.98,1
29.5.100,28.5.99,1
29.6.101,28.6.100,1
29.7.102,28.7.101,1
29.8.103,28.8.102,1
29.9.104,28.9.103,1
29.10.105,28.10.104,1
29.11.106,28.11.105,1
29.12.107,28.12.106,1
29.13.108,28.13.107,1
29.14.109,28.14.108,1
29.15.110,28.15.109,1
29.16.111,28.16.110,1
29.17.112,28.17.111,1
29.18.113,28.18.112,1
29.19.114,28.19.113,1
29.20.115,28.20.114,1
29.21.116,28.21.115,1
29.22.117,28.22.116,1
29.23.118,28.23.117,1
29.24.119,28.24.118,1
29.25.120,28.25.119,1
29.26.121,28.26.120,1
29.27.122,28.27.121,1
29.28.123,28.28.122,1
29.29.124,28.29.123,1
29.30.125,28.30.124,1
29.31.126,28.31.125,1
29.32.127,28.32.126,1
29.33.128,28.33.127,1
29.34.129,28.34.128,1
29.35.130,28.35.129,1
29.36.131,28.36.130,1
29.37.132,28.37.131,1
29.38.133,28.38.132,1
29.39.134,28.39.133,1
29.40.135,28.40.134,1
29.41.136,28.41.135,1
29.42.137,28.42.136,1
29.43.138,28.43.137,1
29.44.139,28.44.138,1
29.45.140,28.45.139,1
29.46.141,28.46.140,1
29.47.142,28.47.141,1
29.48.143,28.48.142,1
29.49.144,28.49.143,1
29.50.145,28.50.144,1
29.51.146,28.51.145,1
29.52.147,28.52.146,1
29.53.148,28.53.147,1
29.54.149,28.54.148,1
29.55.150,28.55.149,1
29.56.151,28.56.150,1
29.57.152,28.59.153,0.9002608
29.58.153,28.57.151,1
29.59.154,28.58.152,1
29.60.155,28.60.154,1
29.61.156,28.61.155,1
29.62.157,28.62.156,1
29.63.158,28.63.157,1
29.64.159,28.64.158,1
29.65.160,28.65.159,1
29.66.161,28.59.153,0.7898772
29.67.162,28.66.160,1
30.1.163,29.1.161,1
31.1.164,30.1.162,1
31.2.165,30.2.163,1
32.1.166,31.1.164,1
33.1.167,32.1.165,1
33.2.168,32.2.166,1
34.1.169,33.1.167,1
34.2.170,33.2.168,1
34.3.171,33.3.169,1
34.4.172,33.4.170,1
35.1.173,34.1.171,1
36.1.174,35.1.172,1
37.1.175,36.1.173,1
38.1.176,37.1.174,1
38.2.177,37.2.175,1
38.3.178,37.3.176,1
38.4.179,37.4.177,1
38.5.180,37.5.178,1
