1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
4.2.9,4.2.9,1
4.3.10,_,0
4.4.11,4.3.10,1
4.5.12,_,0
5.1.13,5.1.11,1
5.2.14,5.2.12,1
5.3.15,5.3.13,1
6.1.16,6.1.14,1
7.1.17,7.1.15,1
8.1.18,8.1.16,1
9.1.19,9.1.17,1
10.1.20,10.1.18,1
10.2.21,10.2.19,1
10.3.22,10.3.20,1
10.4.23,10.4.21,1
10.5.24,10.5.22,1
10.6.25,10.6.23,1
10.7.26,10.7.24,1
10.8.27,10.8.25,1
10.9.28,10.9.26,1
10.10.29,10.10.27,1
10.11.30,10.11.28,1
10.12.31,10.12.29,1
10.13.32,10.13.30,1
11.1.33,11.1.31,1
11.2.34,11.2.32,1
11.3.35,11.3.33,1
12.1.36,12.1.34,1
13.1.37,13.1.35,1
14.1.38,14.1.36,1
14.2.39,14.2.37,1
14.3.40,14.3.38,1
14.4.41,14.4.39,1
14.5.42,14.5.40,1
14.6.43,14.6.41,1
15.1.44,15.1.42,1
16.1.45,16.1.43,1
17.1.46,17.1.44,1
17.2.47,17.2.45,1
17.3.48,17.3.46,1
17.4.49,17.4.47,1
17.5.50,17.5.48,1
17.6.51,17.6.49,1
17.7.52,17.7.50,1
