1.1.1,1.1.1,1
2.1.2,2.1.2,0.93781924
3.1.3,3.1.3,1
4.1.4,4.1.4,0.9289056
5.1.5,5.1.5,1
5.2.6,5.2.6,1
5.3.7,5.3.7,1
6.1.8,6.1.8,0.9381379
7.1.9,7.1.9,0.9294821
8.1.10,8.1.10,1
8.2.11,8.2.11,1
8.3.12,8.3.12,1
9.1.13,9.1.13,1
9.2.14,9.2.14,1
10.1.15,10.1.15,1
11.1.16,11.1.16,1
12.1.17,12.1.17,1
13.1.18,13.1.18,1
14.1.19,14.1.19,0.90400004
15.1.20,15.1.20,1
15.2.21,15.2.21,1
15.3.22,15.3.22,1
15.4.23,15.4.23,1
15.5.24,15.5.24,1
16.1.25,16.1.25,1
17.1.26,17.1.26,1
18.1.27,18.1.27,1
19.1.28,19.1.28,1
19.2.29,19.2.29,1
19.3.30,19.3.30,1
20.1.31,20.1.31,1
21.1.32,21.1.32,1
22.1.33,22.1.33,1
23.1.34,23.1.34,0.9200001
24.1.35,24.1.35,1
24.2.36,24.2.36,1
24.3.37,24.3.37,1
24.4.38,24.4.38,1
24.5.39,24.5.39,1
25.1.40,25.1.40,0.8956522
26.1.41,26.1.41,1
26.2.42,26.2.42,1
26.3.43,26.3.43,1
26.4.44,26.4.44,1
26.5.45,26.5.45,1
26.6.46,26.6.46,1
26.7.47,26.7.47,1
26.8.48,26.8.48,1
27.1.49,27.1.49,0.9272728
28.1.50,28.1.50,1
28.2.51,28.2.51,1
28.3.52,28.3.52,1
28.4.53,28.4.53,1
28.5.54,28.5.54,1
28.6.55,28.6.55,1
28.7.56,28.7.56,1
28.8.57,28.8.57,1
29.1.58,29.1.58,0.9316882
30.1.59,30.1.59,0.82769114
31.1.60,31.1.60,1
31.2.61,31.2.61,1
31.3.62,31.3.62,1
32.1.63,32.1.63,0.8732305
33.1.64,33.1.64,1
33.2.65,33.2.65,1
33.3.66,33.3.66,1
33.4.67,33.4.67,1
33.5.68,33.5.68,1
33.6.69,33.6.69,1
33.7.70,33.7.70,1
34.1.71,34.1.71,0.72307694
35.1.72,35.1.72,1
35.2.73,35.2.73,1
35.3.74,35.3.74,1
35.4.75,35.4.75,1
35.5.76,35.5.76,1
35.6.77,35.6.77,1
35.7.78,35.7.78,1
35.8.79,35.8.79,1
35.9.80,35.9.80,1
36.1.81,36.1.81,0.9100001
37.1.82,37.1.82,1
37.2.83,37.2.83,1
37.3.84,37.3.84,1
37.4.85,37.4.85,1
37.5.86,37.5.86,1
37.6.87,37.6.87,1
37.7.88,37.7.88,1
38.1.89,38.1.89,1
39.1.90,39.1.90,1
