1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
4.2.9,4.2.9,1
5.1.10,5.1.10,1
5.2.11,5.2.11,1
5.3.12,5.3.12,1
5.4.13,5.4.13,1
5.5.14,_,0
5.6.15,5.5.14,1
5.7.16,_,0
5.8.17,5.6.15,1
5.9.18,5.7.16,1
6.1.19,6.1.17,1
6.2.20,6.2.18,1
6.3.21,6.3.19,1
6.4.22,6.4.20,1
6.5.23,6.5.21,1
6.6.24,6.6.22,1
6.7.25,6.7.23,1
6.8.26,6.8.24,1
7.1.27,7.1.25,1
7.2.28,7.2.26,1
7.3.29,7.3.27,1
7.4.30,7.4.28,1
8.1.31,8.1.29,1
8.2.32,8.2.30,1
9.1.33,9.1.31,1
10.1.34,10.1.32,1
10.2.35,10.2.33,1
10.3.36,10.3.34,1
11.1.37,11.1.35,1
11.2.38,11.2.36,1
12.1.39,12.1.37,1
13.1.40,13.1.38,1
13.2.41,13.2.39,1
14.1.42,14.1.40,1
15.1.43,15.1.41,1
15.2.44,15.2.42,1
15.3.45,15.3.43,1
15.4.46,15.4.44,1
15.5.47,15.5.45,1
15.6.48,15.6.46,1
15.7.49,15.7.47,1
15.8.50,15.8.48,1
15.9.51,15.9.49,1
15.10.52,15.10.50,1
16.1.53,16.1.51,1
16.2.54,16.2.52,1
16.3.55,16.3.53,1
16.4.56,16.4.54,1
16.5.57,16.5.55,1
16.6.58,16.6.56,1
17.1.59,17.1.57,1
18.1.60,18.1.58,1
18.2.61,18.2.59,1
18.3.62,18.3.60,1
19.1.63,19.1.61,1
