1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
3.2.4,3.2.4,1
3.3.5,3.3.5,1
3.4.6,3.4.6,1
3.5.7,3.5.7,1
3.6.8,3.6.8,1
4.1.9,4.1.9,1
4.2.10,4.2.10,1
4.3.11,4.3.11,1
5.1.12,5.1.12,1
5.2.13,5.2.13,1
5.3.14,5.3.14,1
6.1.15,6.1.15,1
6.2.16,6.2.16,1
7.1.17,7.1.17,1
8.1.18,8.1.18,1
8.2.19,8.2.19,1
8.3.20,8.3.20,1
8.4.21,8.4.21,1
8.5.22,8.5.22,1
8.6.23,8.6.23,1
8.7.24,8.7.24,1
9.1.25,9.1.25,1
9.2.26,9.2.26,1
9.3.27,9.3.27,1
9.4.28,9.4.28,1
9.5.29,9.5.29,1
9.6.30,9.6.30,1
10.1.31,10.1.31,1
10.2.32,10.2.32,1
10.3.33,10.3.33,1
11.1.34,11.1.34,1
11.2.35,11.2.35,1
11.3.36,11.3.36,1
12.1.37,12.1.37,1
13.1.38,13.1.38,1
14.1.39,14.1.39,1
15.1.40,15.1.40,1
15.2.41,15.2.41,1
15.3.42,15.3.42,1
15.4.43,15.4.43,1
15.5.44,15.5.44,1
15.6.45,15.6.45,1
15.7.46,15.7.46,1
15.8.47,15.8.47,1
15.9.48,15.9.48,1
15.10.49,15.10.49,1
15.11.50,15.11.50,1
16.1.51,16.1.51,1
16.2.52,16.2.52,1
16.3.53,16.3.53,1
17.1.54,17.1.54,1
18.1.55,18.1.55,1
19.1.56,19.1.56,1
20.1.57,20.1.57,1
21.1.58,21.1.58,1
21.2.59,21.2.59,1
21.3.60,21.3.60,1
21.4.61,21.4.61,1
21.5.62,21.5.62,1
21.6.63,21.6.63,1
21.7.64,21.7.64,1
21.8.65,21.8.65,1
21.9.66,21.9.66,1
22.1.67,22.1.67,1
22.2.68,22.2.68,1
23.1.69,23.1.69,1
23.2.70,23.2.70,1
23.3.71,23.3.71,1
24.1.72,24.1.72,1
25.1.73,25.1.73,1
25.2.74,25.2.74,1
25.3.75,25.3.75,1
25.4.76,25.4.76,1
25.5.77,25.5.77,1
