2.1.1,1.1.1,1
2.2.2,1.2.2,1
2.3.3,1.3.3,1
2.4.4,1.4.4,1
2.5.5,1.5.5,1
3.1.6,2.1.6,1
4.1.7,3.1.7,1
5.1.8,4.1.8,1
6.1.9,5.1.9,1
6.2.10,5.2.10,1
7.1.11,6.1.11,1
7.2.12,6.2.12,1
7.3.13,6.3.13,1
8.1.14,7.1.14,1
8.2.15,7.2.15,1
9.1.16,8.1.16,1
10.1.17,9.1.17,1
10.2.18,9.2.18,1
11.1.19,10.1.19,1
12.1.20,11.1.20,1
13.1.21,12.1.21,1
13.2.22,12.2.22,1
14.1.23,13.1.23,1
14.2.24,13.2.24,1
14.3.25,13.3.25,1
14.4.26,13.4.26,1
14.5.27,13.5.27,1
14.6.28,13.6.28,1
14.7.29,13.7.29,1
14.8.30,13.8.30,1
14.9.31,13.9.31,1
14.10.32,13.10.32,1
14.11.33,13.11.33,1
15.1.34,14.1.34,1
15.2.35,14.2.35,1
16.1.36,15.1.36,1
16.2.37,15.2.37,1
16.3.38,15.3.38,1
16.4.39,15.4.39,1
17.1.40,16.1.40,1
17.2.41,16.2.41,1
18.1.42,17.1.42,1
19.1.43,18.1.43,1
19.2.44,18.2.44,1
19.3.45,18.3.45,1
19.4.46,18.4.46,1
20.1.47,19.1.47,1
21.1.48,20.1.48,1
21.2.49,20.2.49,1
21.3.50,20.3.50,1
22.1.51,21.1.51,1
22.2.52,21.2.52,1
22.3.53,21.3.53,1
22.4.54,21.4.54,1
22.5.55,21.5.55,1
23.1.56,22.1.56,1
23.2.57,22.2.57,1
23.3.58,22.3.58,1
