1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,0.9973452
4.2.9,4.2.9,1
4.3.10,4.3.10,1
5.1.11,5.1.11,1
6.1.12,6.1.12,1
6.2.13,6.2.13,1
6.3.14,6.3.14,0.99577475
6.4.15,6.4.15,1
6.5.16,6.5.16,1
6.6.17,6.6.17,1
6.7.18,6.7.18,1
7.1.19,7.1.19,0.9676603
7.2.20,7.2.20,1
7.3.21,7.3.21,1
8.1.22,_,0
8.2.23,_,0
8.3.24,_,0
9.1.25,8.1.22,1
10.1.26,9.1.23,1
10.2.27,9.2.24,1
10.3.28,9.3.25,1
10.4.29,9.4.26,1
10.5.30,9.5.27,1
10.6.31,9.6.28,1
10.7.32,9.7.29,1
10.8.33,9.8.30,1
10.9.34,9.9.31,1
10.10.35,9.10.32,1
10.11.36,9.11.33,1
10.12.37,9.12.34,1
11.1.38,10.1.35,0.82967746
12.1.39,11.1.36,1
13.1.40,12.1.37,1
13.2.41,12.2.38,1
13.3.42,12.3.39,1
14.1.43,13.1.40,1
15.1.44,14.1.41,1
15.2.45,14.2.42,1
15.3.46,14.3.43,1
15.4.47,14.4.44,1
15.5.48,14.5.45,1
15.6.49,14.6.46,0.9792075
15.7.50,14.7.47,0.9904101
15.8.51,14.8.48,1
15.9.52,14.9.49,1
15.10.53,14.10.50,1
15.11.54,14.11.51,1
16.1.55,15.1.52,1
17.1.56,16.1.53,1
17.2.57,16.2.54,1
17.3.58,16.3.55,1
17.4.59,16.4.56,0.96004677
17.5.60,16.5.57,0.9739214
17.6.61,16.6.58,1
18.1.62,_,0
19.1.63,17.1.59,1
20.1.64,18.1.60,0.9565563
20.2.65,18.2.61,1
20.3.66,18.3.62,1
20.4.67,18.4.63,1
20.5.68,18.5.64,0.9926281
21.1.69,19.1.65,1
22.1.70,20.1.66,1
22.2.71,20.2.67,1
22.3.72,20.3.68,1
