1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,_,0
5.1.5,4.1.4,1
6.1.6,5.1.5,0.61817217
6.2.7,_,0
7.1.8,6.1.6,1
7.2.9,6.2.7,1
7.3.10,6.3.8,1
7.4.11,6.4.9,1
7.5.12,6.5.10,1
7.6.13,6.6.11,1
8.1.14,7.1.12,1
9.1.15,8.1.13,1
9.2.16,8.2.14,1
9.3.17,8.3.15,1
9.4.18,8.4.16,1
9.5.19,8.5.17,1
9.6.20,8.6.18,1
9.7.21,8.7.19,1
9.8.22,8.8.20,1
9.9.23,8.9.21,1
9.10.24,8.10.22,1
9.11.25,8.11.23,1
9.12.26,8.12.24,1
9.13.27,8.13.25,1
9.14.28,8.14.26,1
9.15.29,8.15.27,1
9.16.30,8.16.28,1
9.17.31,8.17.29,1
10.1.32,9.1.30,1
11.1.33,10.1.31,1
11.2.34,10.2.32,1
11.3.35,10.3.33,0.9871795
11.4.36,10.4.34,1
11.5.37,10.5.35,1
12.1.38,11.1.36,1
13.1.39,12.1.37,1
14.1.40,13.1.38,1
15.1.41,14.1.39,1
15.2.42,14.2.40,1
15.3.43,14.3.41,1
16.1.44,15.1.42,1
17.1.45,16.1.43,1
18.1.46,17.1.44,1
19.1.47,18.1.45,1
19.2.48,18.2.46,1
19.3.49,18.3.47,1
19.4.50,18.4.48,1
19.5.51,18.5.49,1
19.6.52,18.6.50,1
19.7.53,18.7.51,1
20.1.54,19.1.52,1
21.1.55,20.1.53,1
21.2.56,20.2.54,1
21.3.57,20.3.55,1
21.4.58,20.4.56,1
21.5.59,20.5.57,1
21.6.60,20.6.58,1
21.7.61,20.7.59,1
22.1.62,21.1.60,1
22.2.63,21.2.61,1
23.1.64,22.1.62,1
23.2.65,22.2.63,1
23.3.66,22.3.64,1
23.4.67,22.4.65,1
23.5.68,22.5.66,1
23.6.69,22.6.67,1
23.7.70,22.7.68,1
24.1.71,23.1.69,1
25.1.72,24.1.70,1
26.1.73,25.1.71,1
27.1.74,26.1.72,1
28.1.75,27.1.73,1
29.1.76,28.1.74,1
30.1.77,29.1.75,1
31.1.78,30.1.76,1
32.1.79,31.1.77,1
33.1.80,32.1.78,1
33.2.81,32.2.79,1
33.3.82,32.3.80,1
34.1.83,33.1.81,1
34.2.84,33.2.82,1
34.3.85,33.3.83,1
34.4.86,33.4.84,1
34.5.87,33.5.85,1
34.6.88,33.6.86,1
35.1.89,34.1.87,1
36.1.90,35.1.88,1
37.1.91,36.1.89,1
37.2.92,36.2.90,1
37.3.93,36.3.91,1
37.4.94,36.4.92,1
37.5.95,36.5.93,1
37.6.96,36.6.94,1
37.7.97,36.7.95,1
37.8.98,36.8.96,1
38.1.99,37.1.97,1
