1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,5.1.9,1
6.1.10,6.1.10,1
7.1.11,7.1.11,1
7.2.12,7.2.12,1
7.3.13,7.3.13,1
7.4.14,7.4.14,1
8.1.15,8.1.15,1
9.1.16,9.1.16,1
9.2.17,9.2.17,1
9.3.18,9.3.18,1
10.1.19,10.1.19,1
11.1.20,11.1.20,1
12.1.21,12.1.21,1
12.2.22,12.2.22,1
12.3.23,12.3.23,1
12.4.24,12.4.24,1
12.5.25,12.5.25,1
13.1.26,13.1.26,1
14.1.27,14.1.27,1
15.1.28,15.1.28,1
16.1.29,16.1.29,1
16.2.30,16.2.30,1
17.1.31,17.1.31,1
18.1.32,18.1.32,1
18.2.33,18.2.33,1
18.3.34,18.3.34,1
18.4.35,18.4.35,1
18.5.36,18.5.36,1
19.1.37,19.1.37,1
19.2.38,19.2.38,1
19.3.39,19.3.39,1
19.4.40,19.4.40,1
19.5.41,19.5.41,1
19.6.42,19.6.42,1
19.7.43,19.7.43,1
19.8.44,19.8.44,1
19.9.45,19.9.45,1
20.1.46,20.1.46,1
21.1.47,21.1.47,1
21.2.48,21.2.48,1
21.3.49,21.3.49,1
21.4.50,21.4.50,1
21.5.51,21.5.51,1
21.6.52,21.6.52,1
22.1.53,22.1.53,1
23.1.54,23.1.54,1
24.1.55,24.1.55,1
24.2.56,24.2.56,1
25.1.57,25.1.57,1
