1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,0.9977187
4.1.8,4.1.8,1
5.1.9,5.1.9,1
5.2.10,5.2.10,1
5.3.11,5.3.11,1
5.4.12,5.4.12,1
5.5.13,5.5.13,1
6.1.14,6.1.14,0.985
7.1.15,7.1.15,1
7.2.16,7.2.16,1
7.3.17,7.3.17,1
7.4.18,7.4.18,1
7.5.19,7.5.19,1
7.6.20,7.6.20,1
7.7.21,7.7.21,1
7.8.22,7.8.22,1
8.1.23,8.1.23,1
8.2.24,8.2.24,1
8.3.25,8.3.25,1
8.4.26,8.4.26,1
8.5.27,8.5.27,1
8.6.28,8.6.28,1
9.1.29,9.1.29,1
9.2.30,9.2.30,1
9.3.31,9.3.31,0.99739134
10.1.32,10.1.32,1
10.2.33,10.2.33,1
10.3.34,10.3.34,1
10.4.35,10.4.35,1
11.1.36,11.1.36,1
11.2.37,11.2.37,1
12.1.38,12.1.38,1
13.1.39,13.1.39,0.9663142
13.2.40,13.2.40,1
13.3.41,13.3.41,0.9720752
13.4.42,13.4.42,0.9512665
13.5.43,13.5.43,1
13.6.44,13.6.44,0.976307
14.1.45,14.1.45,0.9850624
15.1.46,15.1.46,1
15.2.47,15.2.47,1
15.3.48,15.3.48,1
15.4.49,15.4.49,1
15.5.50,15.5.50,1
15.6.51,15.6.51,1
15.7.52,15.7.52,1
15.8.53,15.8.53,1
15.9.54,15.9.54,1
15.10.55,15.10.55,1
16.1.56,16.1.56,0.9850794
17.1.57,17.1.57,1
17.2.58,17.2.58,1
18.1.59,18.1.59,0.96742463
19.1.60,19.1.60,1
20.1.61,20.1.61,0.974296
21.1.62,21.1.62,1
22.1.63,22.1.63,1
22.2.64,22.2.64,1
22.3.65,22.3.65,1
22.4.66,22.4.66,1
22.5.67,22.5.67,1
22.6.68,22.6.68,1
22.7.69,22.7.69,1
