1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,1
5.3.7,5.3.7,1
5.4.8,5.4.8,1
6.1.9,6.1.9,1
6.2.10,6.2.10,1
6.3.11,6.3.11,1
6.4.12,6.4.12,1
6.5.13,6.5.13,1
6.6.14,6.6.14,1
6.7.15,6.7.15,1
7.1.16,7.1.16,1
7.2.17,7.2.17,1
7.3.18,7.3.18,1
7.4.19,7.4.19,1
7.5.20,7.5.20,1
8.1.21,8.1.21,1
9.1.22,9.1.22,1
9.2.23,9.2.23,1
10.1.24,10.1.24,1
10.2.25,10.2.25,1
10.3.26,10.3.26,1
10.4.27,10.4.27,1
10.5.28,10.5.28,1
10.6.29,10.6.29,1
11.1.30,11.1.30,1
12.1.31,12.1.31,1
13.1.32,13.1.32,1
13.2.33,13.2.33,1
13.3.34,13.3.34,1
13.4.35,13.4.35,1
13.5.36,13.5.36,1
13.6.37,13.6.37,1
14.1.38,14.1.38,1
15.1.39,15.1.39,1
16.1.40,16.1.40,1
17.1.41,17.1.41,1
18.1.42,18.1.42,1
18.2.43,18.2.43,1
18.3.44,18.3.44,1
18.4.45,18.4.45,1
19.1.46,19.1.46,1
19.2.47,19.2.47,1
20.1.48,20.1.48,1
20.2.49,20.2.49,1
20.3.50,20.3.50,1
20.4.51,20.4.51,1
21.1.52,21.1.52,1
22.1.53,22.1.53,1
22.2.54,22.2.54,1
23.1.55,23.1.55,1
24.1.56,24.1.56,1
25.1.57,25.1.57,1
