_,1.1.1,0
_,1.2.2,0
_,1.3.3,0
_,1.4.4,0
_,1.5.5,0
1.1.1,_,0
2.1.2,2.1.6,1
3.1.3,3.1.7,0.83101237
4.1.4,4.1.8,1
4.2.5,4.2.9,1
4.3.6,4.3.10,1
4.4.7,4.4.11,1
4.5.8,4.5.12,1
4.6.9,4.6.13,1
4.7.10,4.7.14,1
5.1.11,5.1.15,1
5.2.12,5.2.16,1
5.3.13,5.3.17,1
6.1.14,6.1.18,1
6.2.15,6.2.19,1
6.3.16,6.3.20,0.7436766
6.4.17,6.4.21,1
6.5.18,6.5.22,0.9451624
7.1.19,7.1.23,1
8.1.20,8.1.24,1
9.1.21,9.1.25,1
9.2.22,9.2.26,1
9.3.23,9.3.27,1
9.4.24,9.4.28,1
9.5.25,9.5.29,1
10.1.26,10.1.30,1
11.1.27,11.1.31,1
11.2.28,11.2.32,1
11.3.29,11.3.33,1
11.4.30,11.4.34,1
11.5.31,11.5.35,1
11.6.32,11.6.36,1
11.7.33,11.7.37,1
11.8.34,11.8.38,1
11.9.35,11.9.39,1
11.10.36,11.10.40,1
11.11.37,11.11.41,1
11.12.38,11.12.42,1
11.13.39,11.13.43,1
11.14.40,11.14.44,1
12.1.41,12.1.45,1
12.2.42,12.2.46,1
12.3.43,12.3.47,1
13.1.44,13.1.48,1
14.1.45,14.1.49,1
15.1.46,15.1.50,0.93501806
16.1.47,16.1.51,1
16.2.48,16.2.52,1
16.3.49,16.3.53,1
16.4.50,16.4.54,1
16.5.51,16.5.55,1
16.6.52,16.6.56,1
16.7.53,16.7.57,1
17.1.54,17.1.58,1
18.1.55,18.1.59,1
18.2.56,18.2.60,1
18.3.57,18.3.61,1
18.4.58,18.4.62,1
19.1.59,19.1.63,0.93803036
19.2.60,19.2.64,1
19.3.61,19.3.65,0.922927
19.4.62,19.4.66,1
19.5.63,19.5.67,1
20.1.64,20.1.68,1
21.1.65,21.1.69,1
22.1.66,22.1.70,1
22.2.67,22.2.71,1
22.3.68,22.3.72,1
23.1.69,23.1.73,0.97043014
24.1.70,24.1.74,1
25.1.71,25.1.75,0.9826468
26.1.72,26.1.76,1
26.2.73,26.2.77,1
26.3.74,26.3.78,1
26.4.75,26.4.79,1
27.1.76,27.1.80,0.94700146
28.1.77,28.1.81,0.9260545
29.1.78,29.1.82,1
29.2.79,29.2.83,0.8860029
30.1.80,30.1.84,1
31.1.81,31.1.85,1
32.1.82,32.1.86,0.9203806
32.2.83,32.2.87,1
32.3.84,32.3.88,0.95715785
33.1.85,33.1.89,1
34.1.86,34.1.90,1
35.1.87,35.1.91,0.8052825
36.1.88,36.1.92,1
37.1.89,37.1.93,1
