1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
6.1.6,6.1.6,1
6.2.7,6.2.7,1
6.3.8,6.3.8,1
6.4.9,6.4.9,1
6.5.10,6.5.10,1
7.1.11,7.1.11,1
8.1.12,8.1.12,1
9.1.13,9.1.13,1
9.2.14,9.2.14,1
9.3.15,9.3.15,1
10.1.16,10.1.16,1
11.1.17,11.1.17,1
12.1.18,12.1.18,1
13.1.19,13.1.19,1
13.2.20,13.2.20,1
13.3.21,13.3.21,1
13.4.22,13.4.22,1
13.5.23,13.5.23,1
14.1.24,14.1.24,1
15.1.25,15.1.25,1
16.1.26,16.1.26,1
17.1.27,17.1.27,1
17.2.28,17.2.28,1
17.3.29,17.3.29,1
17.4.30,17.4.30,1
17.5.31,17.5.31,1
18.1.32,18.1.32,1
19.1.33,19.1.33,1
20.1.34,20.1.34,1
21.1.35,21.1.35,1
22.1.36,22.1.36,0.9682927
23.1.37,23.1.37,1
24.1.38,24.1.38,1
25.1.39,25.1.39,1
26.1.40,26.1.40,1
27.1.41,27.1.41,1
27.2.42,27.2.42,1
28.1.43,28.1.43,1
28.2.44,28.2.44,1
28.3.45,28.3.45,1
28.4.46,28.4.46,1
28.5.47,28.5.47,1
29.1.48,29.1.48,1
29.2.49,29.2.49,1
29.3.50,29.3.50,1
30.1.51,30.1.51,1
31.1.52,31.1.52,1
32.1.53,32.1.53,1
33.1.54,33.1.54,1
34.1.55,34.1.55,1
35.1.56,35.1.56,1
35.2.57,35.2.57,1
35.3.58,35.3.58,1
36.1.59,36.1.59,1
37.1.60,37.1.60,1
38.1.61,38.1.61,1
38.2.62,38.2.62,1
38.3.63,38.3.63,1
38.4.64,38.4.64,1
38.5.65,38.5.65,1
38.6.66,38.6.66,1
38.7.67,38.7.67,1
38.8.68,38.8.68,1
39.1.69,39.1.69,1
39.2.70,39.2.70,1
39.3.71,39.3.71,1
40.1.72,40.1.72,1
40.2.73,40.2.73,1
40.3.74,40.3.74,1
41.1.75,41.1.75,1
41.2.76,41.2.76,1
41.3.77,41.3.77,1
41.4.78,41.4.78,1
41.5.79,41.5.79,1
42.1.80,42.1.80,1
43.1.81,43.1.81,1
44.1.82,44.1.82,1
45.1.83,45.1.83,1
46.1.84,46.1.84,1
46.2.85,46.2.85,1
46.3.86,46.3.86,1
46.4.87,46.4.87,1
46.5.88,46.5.88,1
46.6.89,46.6.89,1
46.7.90,46.7.90,1
47.1.91,47.1.91,1
48.1.92,48.1.92,1
49.1.93,49.1.93,1
50.1.94,50.1.94,1
51.1.95,51.1.95,1
52.1.96,52.1.96,1
