1.1.1,1.1.1,1
2.1.2,_,0
3.1.3,_,0
4.1.4,2.1.2,1
5.1.5,3.1.3,1
6.1.6,4.1.4,1
6.2.7,4.2.5,1
6.3.8,4.3.6,1
7.1.9,5.1.7,1
8.1.10,6.1.8,1
8.2.11,6.2.9,1
8.3.12,6.3.10,1
8.4.13,6.4.11,1
8.5.14,6.5.12,1
8.6.15,6.6.13,1
8.7.16,6.7.14,1
8.8.17,6.8.15,1
8.9.18,6.9.16,1
8.10.19,6.10.17,1
8.11.20,6.11.18,1
8.12.21,6.12.19,1
8.13.22,6.13.20,1
8.14.23,6.14.21,1
8.15.24,6.15.22,1
8.16.25,6.16.23,1
8.17.26,6.17.24,1
8.18.27,6.18.25,1
8.19.28,6.19.26,1
9.1.29,7.1.27,1
9.2.30,7.2.28,1
9.3.31,7.3.29,1
10.1.32,8.1.30,1
10.2.33,8.2.31,1
10.3.34,8.3.32,1
10.4.35,8.4.33,1
10.5.36,8.5.34,1
10.6.37,8.6.35,1
10.7.38,8.7.36,1
10.8.39,8.8.37,1
10.9.40,8.9.38,1
10.10.41,8.10.39,1
10.11.42,8.11.40,1
10.12.43,8.12.41,1
10.13.44,8.13.42,1
10.14.45,8.14.43,1
10.15.46,8.15.44,1
10.16.47,8.16.45,1
10.17.48,8.17.46,1
10.18.49,8.18.47,1
10.19.50,8.19.48,1
10.20.51,8.20.49,1
10.21.52,8.21.50,1
10.22.53,8.22.51,1
10.23.54,8.23.52,1
10.24.55,8.24.53,1
10.25.56,8.25.54,1
10.26.57,8.26.55,1
10.27.58,8.27.56,1
10.28.59,8.28.57,1
10.29.60,8.29.58,1
10.30.61,8.30.59,1
10.31.62,8.31.60,1
10.32.63,8.32.61,1
10.33.64,8.33.62,1
10.34.65,8.34.63,1
10.35.66,8.35.64,1
10.36.67,8.36.65,1
10.37.68,8.37.66,1
10.38.69,8.38.67,1
10.39.70,8.39.68,1
10.40.71,8.40.69,1
10.41.72,8.41.70,1
11.1.73,9.1.71,1
12.1.74,10.1.72,1
13.1.75,11.1.73,1
14.1.76,12.1.74,1
14.2.77,12.2.75,1
14.3.78,12.3.76,1
14.4.79,12.4.77,1
14.5.80,12.5.78,1
14.6.81,12.6.79,1
14.7.82,12.7.80,1
14.8.83,12.8.81,1
14.9.84,12.9.82,1
14.10.85,12.10.83,1
14.11.86,12.11.84,1
14.12.87,12.12.85,1
14.13.88,12.13.86,1
14.14.89,12.14.87,1
14.15.90,12.15.88,1
14.16.91,12.16.89,1
14.17.92,12.17.90,1
14.18.93,12.18.91,1
14.19.94,12.19.92,1
14.20.95,12.20.93,1
14.21.96,12.21.94,1
14.22.97,12.22.95,1
14.23.98,12.23.96,1
14.24.99,12.24.97,1
14.25.100,12.25.98,1
14.26.101,12.26.99,1
14.27.102,12.27.100,1
14.28.103,12.28.101,1
14.29.104,12.29.102,1
14.30.105,12.30.103,1
14.31.106,12.31.104,1
14.32.107,12.32.105,1
14.33.108,12.33.106,1
14.34.109,12.34.107,1
14.35.110,12.35.108,1
14.36.111,12.36.109,1
14.37.112,12.37.110,1
14.38.113,12.38.111,1
14.39.114,12.39.112,1
14.40.115,12.40.113,1
14.41.116,12.41.114,1
14.42.117,12.42.115,1
14.43.118,12.43.116,1
14.44.119,12.44.117,1
14.45.120,12.45.118,1
14.46.121,12.46.119,1
14.47.122,12.47.120,1
14.48.123,12.48.121,1
14.49.124,12.49.122,1
14.50.125,12.50.123,1
14.51.126,12.51.124,1
14.52.127,12.52.125,1
14.53.128,12.53.126,1
14.54.129,12.54.127,1
14.55.130,12.55.128,1
14.56.131,12.56.129,1
14.57.132,12.57.130,1
14.58.133,12.58.131,1
14.59.134,12.59.132,1
14.60.135,12.60.133,1
14.61.136,12.61.134,1
14.62.137,12.62.135,1
14.63.138,12.63.136,1
14.64.139,12.64.137,1
15.1.140,13.1.138,1
16.1.141,14.1.139,1
16.2.142,14.2.140,1
16.3.143,14.3.141,1
16.4.144,14.4.142,1
16.5.145,14.5.143,1
16.6.146,14.6.144,1
16.7.147,14.7.145,1
16.8.148,14.8.146,1
16.9.149,14.9.147,1
16.10.150,14.10.148,1
16.11.151,14.11.149,1
16.12.152,14.12.150,1
16.13.153,14.13.151,1
16.14.154,14.14.152,1
16.15.155,14.15.153,1
16.16.156,14.16.154,1
16.17.157,14.17.155,1
16.18.158,14.18.156,1
16.19.159,14.19.157,1
16.20.160,14.20.158,1
16.21.161,14.21.159,1
16.22.162,14.22.160,1
16.23.163,14.23.161,1
16.24.164,14.24.162,1
16.25.165,14.25.163,1
16.26.166,14.26.164,1
16.27.167,14.27.165,1
16.28.168,14.28.166,1
16.29.169,14.29.167,1
16.30.170,14.30.168,1
16.31.171,14.31.169,1
16.32.172,14.32.170,1
16.33.173,14.33.171,1
16.34.174,14.34.172,1
16.35.175,14.35.173,1
16.36.176,14.36.174,1
16.37.177,14.37.175,1
16.38.178,14.38.176,1
16.39.179,14.39.177,1
16.40.180,14.40.178,1
16.41.181,14.41.179,1
16.42.182,14.42.180,1
16.43.183,14.43.181,1
16.44.184,14.44.182,1
16.45.185,14.45.183,1
16.46.186,14.46.184,1
16.47.187,14.47.185,1
16.48.188,14.48.186,1
16.49.189,14.49.187,1
16.50.190,14.50.188,1
16.51.191,14.51.189,1
16.52.192,14.52.190,1
17.1.193,15.1.191,1
18.1.194,16.1.192,1
19.1.195,17.1.193,1
19.2.196,17.2.194,1
19.3.197,17.3.195,1
19.4.198,17.4.196,1
19.5.199,17.5.197,1
19.6.200,17.6.198,1
19.7.201,17.7.199,1
19.8.202,17.8.200,1
20.1.203,18.1.201,1
20.2.204,18.2.202,1
20.3.205,18.3.203,1
20.4.206,18.4.204,1
20.5.207,18.5.205,1
20.6.208,18.6.206,1
20.7.209,18.7.207,1
20.8.210,18.8.208,1
20.9.211,18.9.209,1
21.1.212,19.1.210,1
22.1.213,20.1.211,1
22.2.214,20.2.212,1
22.3.215,20.3.213,1
22.4.216,20.4.214,1
22.5.217,20.5.215,1
