1.1.1,_,0
2.1.2,1.1.1,1
3.1.3,2.1.2,1
4.1.4,3.1.3,1
5.1.5,4.1.4,1
5.2.6,4.2.5,1
5.3.7,4.3.6,1
6.1.8,5.1.7,1
7.1.9,6.1.8,1
8.1.10,7.1.9,1
9.1.11,8.1.10,1
9.2.12,8.2.11,1
9.3.13,8.3.12,1
10.1.14,9.1.13,1
10.2.15,9.2.14,1
10.3.16,9.3.15,1
10.4.17,9.4.16,1
10.5.18,9.5.17,1
10.6.19,9.6.18,1
10.7.20,9.7.19,1
11.1.21,10.1.20,1
11.2.22,10.2.21,1
11.3.23,10.3.22,1
11.4.24,10.4.23,1
11.5.25,10.5.24,1
11.6.26,10.6.25,1
11.7.27,10.7.26,1
11.8.28,10.8.27,1
11.9.29,10.9.28,1
12.1.30,11.1.29,1
13.1.31,12.1.30,1
13.2.32,12.2.31,1
13.3.33,12.3.32,1
14.1.34,13.1.33,1
14.2.35,13.2.34,1
14.3.36,13.3.35,1
14.4.37,13.4.36,1
14.5.38,13.5.37,1
14.6.39,13.6.38,1
14.7.40,13.7.39,1
14.8.41,13.8.40,1
15.1.42,14.1.41,1
16.1.43,15.1.42,1
17.1.44,16.1.43,1
18.1.45,17.1.44,1
19.1.46,18.1.45,1
19.2.47,18.2.46,1
19.3.48,18.3.47,1
19.4.49,18.4.48,1
19.5.50,18.5.49,1
20.1.51,19.1.50,1
20.2.52,19.2.51,1
20.3.53,19.3.52,1
20.4.54,19.4.53,1
20.5.55,19.5.54,1
20.6.56,19.6.55,1
20.7.57,19.7.56,1
20.8.58,19.8.57,1
20.9.59,19.9.58,1
20.10.60,19.10.59,1
21.1.61,20.1.60,1
21.2.62,20.2.61,1
21.3.63,20.3.62,1
21.4.64,20.4.63,1
21.5.65,20.5.64,1
21.6.66,20.6.65,1
22.1.67,21.1.66,1
23.1.68,22.1.67,1
23.2.69,22.2.68,1
23.3.70,22.3.69,1
23.4.71,22.4.70,1
24.1.72,23.1.71,1
25.1.73,24.1.72,1
25.2.74,24.2.73,1
25.3.75,24.3.74,1
26.1.76,25.1.75,1
27.1.77,26.1.76,1
28.1.78,27.1.77,1
29.1.79,28.1.78,1
29.2.80,28.2.79,1
29.3.81,28.3.80,1
29.4.82,28.4.81,1
29.5.83,28.5.82,1
30.1.84,29.1.83,1
30.2.85,29.2.84,1
30.3.86,29.3.85,1
31.1.87,30.1.86,1
32.1.88,31.1.87,1
32.2.89,31.2.88,1
32.3.90,31.3.89,1
32.4.91,31.4.90,1
32.5.92,31.5.91,1
33.1.93,32.1.92,1
34.1.94,33.1.93,1
34.2.95,33.2.94,1
34.3.96,33.3.95,1
34.4.97,33.4.96,1
35.1.98,34.1.97,1
35.2.99,34.2.98,1
35.3.100,34.3.99,1
36.1.101,35.1.100,1
36.2.102,35.2.101,1
36.3.103,35.3.102,1
36.4.104,35.4.103,1
37.1.105,36.1.104,1
38.1.106,37.1.105,1
39.1.107,38.1.106,1
40.1.108,39.1.107,1
40.2.109,39.2.108,1
40.3.110,39.3.109,1
40.4.111,39.4.110,1
40.5.112,39.5.111,1
40.6.113,39.6.112,1
40.7.114,39.7.113,1
40.8.115,39.8.114,1
40.9.116,39.9.115,1
40.10.117,39.10.116,1
41.1.118,40.1.117,1
41.2.119,40.2.118,1
41.3.120,40.3.119,1
42.1.121,41.1.120,1
43.1.122,42.1.121,1
43.2.123,42.2.122,1
44.1.124,43.1.123,1
45.1.125,44.1.124,1
46.1.126,45.1.125,1
