1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,5.1.9,0.99252385
6.1.10,6.1.10,1
6.2.11,6.2.11,1
6.3.12,6.3.12,1
7.1.13,7.1.13,0.9937233
8.1.14,8.1.14,1
9.1.15,9.1.15,0.99140716
10.1.16,10.1.16,1
10.2.17,10.2.17,1
10.3.18,10.3.18,1
10.4.19,10.4.19,1
10.5.20,10.5.20,1
11.1.21,11.1.21,1
11.2.22,11.2.22,1
11.3.23,11.3.23,1
11.4.24,11.4.24,1
11.5.25,11.5.25,1
11.6.26,11.6.26,1
11.7.27,11.7.27,1
12.1.28,12.1.28,1
13.1.29,13.1.29,0.9953671
14.1.30,14.1.30,1
15.1.31,15.1.31,0.9963496
16.1.32,16.1.32,1
16.2.33,16.2.33,1
16.3.34,16.3.34,1
17.1.35,17.1.35,1
17.2.36,17.2.36,1
17.3.37,17.3.37,1
17.4.38,17.4.38,1
17.5.39,17.5.39,1
17.6.40,17.6.40,1
17.7.41,17.7.41,1
18.1.42,18.1.42,0.97823393
19.1.43,19.1.43,1
20.1.44,20.1.44,0.9976541
20.2.45,20.2.45,1
20.3.46,20.3.46,0.99776053
20.4.47,20.4.47,1
20.5.48,20.5.48,1
21.1.49,21.1.49,1
22.1.50,22.1.50,1
23.1.51,23.1.51,0.9953126
24.1.52,24.1.52,1
24.2.53,24.2.53,1
24.3.54,24.3.54,1
24.4.55,24.4.55,1
24.5.56,24.5.56,1
25.1.57,25.1.57,1
25.2.58,25.2.58,1
25.3.59,25.3.59,1
25.4.60,25.4.60,1
25.5.61,25.5.61,1
26.1.62,26.1.62,1
26.2.63,26.2.63,1
26.3.64,26.3.64,1
26.4.65,26.4.65,1
26.5.66,26.5.66,1
26.6.67,26.6.67,1
26.7.68,26.7.68,1
26.8.69,26.8.69,1
27.1.70,27.1.70,1
28.1.71,28.1.71,0.99710155
29.1.72,29.1.72,1
29.2.73,29.2.73,1
29.3.74,29.3.74,1
29.4.75,29.4.75,1
29.5.76,29.5.76,1
30.1.77,30.1.77,1
30.2.78,30.2.78,1
30.3.79,30.3.79,1
30.4.80,30.4.80,1
30.5.81,30.5.81,1
30.6.82,30.6.82,1
30.7.83,30.7.83,1
30.8.84,30.8.84,1
30.9.85,30.9.85,1
31.1.86,31.1.86,1
32.1.87,32.1.87,1
33.1.88,33.1.88,1
34.1.89,34.1.89,0.99520004
35.1.90,35.1.90,1
35.2.91,35.2.91,1
35.3.92,35.3.92,1
36.1.93,36.1.93,1
36.2.94,36.2.94,1
37.1.95,37.1.95,1
37.2.96,37.2.96,1
37.3.97,37.3.97,1
37.4.98,37.4.98,1
37.5.99,37.5.99,1
