1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,5.1.9,1
6.1.10,6.1.10,1
7.1.11,7.1.11,1
8.1.12,8.1.12,1
9.1.13,9.1.13,1
10.1.14,10.1.14,1
10.2.15,10.2.15,1
10.3.16,10.3.16,1
10.4.17,10.4.17,1
11.1.18,11.1.18,1
12.1.19,12.1.19,1
13.1.20,13.1.20,1
13.2.21,13.2.21,1
13.3.22,13.3.22,1
13.4.23,13.4.23,1
13.5.24,13.5.24,1
13.6.25,13.6.25,1
13.7.26,13.7.26,1
13.8.27,13.8.27,1
13.9.28,13.9.28,1
13.10.29,13.10.29,1
13.11.30,13.11.30,1
13.12.31,13.12.31,1
13.13.32,13.13.32,1
13.14.33,13.14.33,1
13.15.34,13.15.34,1
13.16.35,13.16.35,1
13.17.36,13.17.36,1
13.18.37,13.18.37,1
13.19.38,13.19.38,1
13.20.39,13.20.39,1
13.21.40,13.21.40,1
13.22.41,13.22.41,1
13.23.42,13.23.42,1
13.24.43,13.24.43,1
13.25.44,_,0
13.26.45,13.25.44,1
13.27.46,13.26.45,1
13.28.47,13.27.46,1
13.29.48,13.28.47,1
13.30.49,13.29.48,1
13.31.50,13.30.49,1
13.32.51,13.31.50,1
13.33.52,13.32.51,1
13.34.53,13.33.52,1
13.35.54,13.34.53,1
13.36.55,13.35.54,1
13.37.56,13.36.55,1
13.38.57,13.37.56,1
13.39.58,13.38.57,1
13.40.59,13.39.58,1
13.41.60,13.40.59,1
13.42.61,13.41.60,1
13.43.62,13.42.61,1
13.44.63,13.43.62,1
13.45.64,13.44.63,1
13.46.65,13.45.64,1
13.47.66,13.46.65,1
13.48.67,13.47.66,1
13.49.68,13.48.67,1
13.50.69,13.49.68,1
13.51.70,13.50.69,1
13.52.71,13.51.70,1
13.53.72,13.52.71,1
13.54.73,13.53.72,1
13.55.74,13.54.73,1
13.56.75,13.55.74,1
13.57.76,13.56.75,1
13.58.77,13.57.76,1
13.59.78,13.58.77,1
13.60.79,13.59.78,1
13.61.80,13.60.79,1
13.62.81,13.61.80,1
13.63.82,13.62.81,1
13.64.83,13.63.82,1
13.65.84,13.64.83,1
13.66.85,13.65.84,1
13.67.86,13.66.85,1
13.68.87,13.67.86,1
13.69.88,13.68.87,1
13.70.89,13.69.88,1
13.71.90,13.70.89,1
14.1.91,14.1.90,1
14.2.92,14.2.91,1
14.3.93,14.3.92,1
14.4.94,14.4.93,1
14.5.95,14.5.94,1
14.6.96,14.6.95,1
14.7.97,14.7.96,1
14.8.98,14.8.97,1
14.9.99,14.9.98,1
14.10.100,14.10.99,1
14.11.101,14.11.100,1
14.12.102,14.12.101,1
14.13.103,14.13.102,1
14.14.104,14.14.103,1
14.15.105,14.15.104,1
15.1.106,15.1.105,1
15.2.107,15.2.106,1
15.3.108,15.3.107,1
15.4.109,15.4.108,1
15.5.110,15.5.109,1
16.1.111,16.1.110,1
17.1.112,17.1.111,1
17.2.113,17.2.112,1
17.3.114,17.3.113,1
17.4.115,17.4.114,1
17.5.116,17.5.115,1
18.1.117,18.1.116,1
18.2.118,18.2.117,1
18.3.119,18.3.118,1
18.4.120,18.4.119,1
18.5.121,18.5.120,1
18.6.122,18.6.121,1
18.7.123,18.7.122,1
18.8.124,18.8.123,1
18.9.125,18.9.124,1
18.10.126,18.10.125,1
19.1.127,19.1.126,1
20.1.128,20.1.127,1
21.1.129,21.1.128,1
22.1.130,22.1.129,1
22.2.131,22.2.130,1
22.3.132,22.3.131,1
23.1.133,23.1.132,1
24.1.134,24.1.133,1
24.2.135,24.2.134,1
24.3.136,24.3.135,1
24.4.137,24.4.136,1
24.5.138,24.5.137,1
24.6.139,24.6.138,1
24.7.140,24.7.139,1
24.8.141,24.8.140,1
24.9.142,24.9.141,1
24.10.143,24.10.142,1
24.11.144,24.11.143,1
24.12.145,24.12.144,1
24.13.146,24.13.145,1
24.14.147,24.14.146,1
24.15.148,24.15.147,1
24.16.149,24.16.148,1
24.17.150,24.17.149,1
24.18.151,24.18.150,1
24.19.152,24.19.151,1
24.20.153,24.20.152,1
24.21.154,24.21.153,1
24.22.155,24.22.154,1
24.23.156,24.23.155,1
24.24.157,24.24.156,1
24.25.158,24.25.157,1
24.26.159,24.26.158,1
24.27.160,24.27.159,1
24.28.161,24.28.160,1
24.29.162,24.29.161,1
24.30.163,24.30.162,1
24.31.164,24.31.163,1
24.32.165,24.32.164,1
24.33.166,24.33.165,1
24.34.167,24.34.166,1
24.35.168,24.35.167,1
24.36.169,24.36.168,1
24.37.170,24.37.169,1
24.38.171,24.38.170,1
24.39.172,24.39.171,1
24.40.173,24.40.172,1
24.41.174,24.41.173,1
24.42.175,24.42.174,1
24.43.176,24.43.175,1
25.1.177,25.1.176,1
