_,12.5.26,0
_,12.6.27,0
_,12.7.28,0
_,12.8.29,0
_,12.9.30,0
_,12.10.31,0
_,12.11.32,0
_,12.12.33,0
_,12.18.39,0
_,12.19.40,0
_,13.1.41,0
_,25.1.64,0
1.1.1,1.1.1,0.98153853
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,1
5.3.7,5.3.7,1
5.4.8,5.4.8,1
5.5.9,5.5.9,1
6.1.10,6.1.10,1
6.2.11,6.2.11,0.94258136
6.3.12,6.3.12,0.9141104
7.1.13,7.1.13,1
7.2.14,7.2.14,0.9101604
7.3.15,7.3.15,0.86550266
8.1.16,8.1.16,1
9.1.17,9.1.17,1
10.1.18,10.1.18,1
10.2.19,10.2.19,0.9273623
10.3.20,10.3.20,0.7626999
11.1.21,11.1.21,1
12.1.22,12.1.22,1
12.2.23,12.2.23,1
12.3.24,12.3.24,0.85273206
12.4.25,12.4.25,1
12.5.26,12.13.34,0.5229752
12.6.27,_,0
12.7.28,12.14.35,1
12.8.29,12.15.36,1
12.9.30,12.16.37,1
12.10.31,12.17.38,1
12.11.32,_,0
12.12.33,_,0
13.1.34,14.1.42,1
14.1.35,15.1.43,0.9020679
15.1.36,16.1.44,1
15.2.37,16.2.45,1
15.3.38,16.3.46,1
16.1.39,17.1.47,1
17.1.40,18.1.48,0.9538462
18.1.41,19.1.49,1
19.1.42,20.1.50,1
19.2.43,20.2.51,1
19.3.44,20.3.52,1
20.1.45,21.1.53,0.9454546
21.1.46,22.1.54,1
22.1.47,23.1.55,1
22.2.48,23.2.56,1
22.3.49,23.3.57,1
23.1.50,24.1.58,1
23.2.51,24.2.59,1
23.3.52,24.3.60,1
23.4.53,24.4.61,1
23.5.54,24.5.62,1
23.6.55,24.6.63,1
24.1.56,_,0
25.1.57,26.1.65,1
25.2.58,26.2.66,1
25.3.59,26.3.67,1
26.1.60,27.1.68,1
26.2.61,27.2.69,1
26.3.62,27.3.70,1
27.1.63,28.1.71,1
27.2.64,28.2.72,1
27.3.65,28.3.73,1
28.1.66,29.1.74,1
29.1.67,30.1.75,1
