1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,1
5.3.7,5.3.7,1
5.4.8,5.4.8,1
5.5.9,5.5.9,1
6.1.10,6.1.10,1
6.2.11,6.2.11,1
6.3.12,6.3.12,1
7.1.13,7.1.13,1
7.2.14,7.2.14,1
7.3.15,7.3.15,1
8.1.16,8.1.16,1
9.1.17,9.1.17,1
10.1.18,10.1.18,1
10.2.19,10.2.19,1
10.3.20,10.3.20,1
11.1.21,11.1.21,1
12.1.22,12.1.22,1
12.2.23,12.2.23,1
12.3.24,12.3.24,1
12.4.25,12.4.25,1
12.5.26,12.5.26,1
12.6.27,12.6.27,1
12.7.28,12.7.28,1
12.8.29,12.8.29,1
12.9.30,12.9.30,1
12.10.31,12.10.31,1
12.11.32,12.11.32,1
12.12.33,12.12.33,1
13.1.34,13.1.34,1
14.1.35,14.1.35,1
15.1.36,15.1.36,1
15.2.37,15.2.37,1
15.3.38,15.3.38,1
16.1.39,16.1.39,1
17.1.40,17.1.40,1
18.1.41,18.1.41,1
19.1.42,19.1.42,1
19.2.43,19.2.43,1
19.3.44,19.3.44,1
20.1.45,20.1.45,1
21.1.46,21.1.46,0.99764705
22.1.47,22.1.47,1
22.2.48,22.2.48,1
22.3.49,22.3.49,1
23.1.50,23.1.50,1
23.2.51,23.2.51,1
23.3.52,23.3.52,1
23.4.53,23.4.53,1
23.5.54,23.5.54,1
23.6.55,23.6.55,1
24.1.56,24.1.56,1
25.1.57,25.1.57,1
25.2.58,25.2.58,1
25.3.59,25.3.59,1
26.1.60,26.1.60,1
26.2.61,26.2.61,1
26.3.62,26.3.62,1
27.1.63,27.1.63,1
27.2.64,27.2.64,1
27.3.65,27.3.65,1
28.1.66,28.1.66,1
29.1.67,29.1.67,1
