1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,5.1.9,1
6.1.10,6.1.10,1
6.2.11,6.2.11,1
7.1.12,7.1.12,1
7.2.13,7.2.13,1
7.3.14,7.3.14,1
8.1.15,8.1.15,1
8.2.16,8.2.16,1
8.3.17,8.3.17,1
9.1.18,9.1.18,1
10.1.19,10.1.19,1
11.1.20,11.1.20,1
12.1.21,12.1.21,1
12.2.22,12.2.22,1
12.3.23,12.3.23,1
13.1.24,13.1.24,1
14.1.25,14.1.25,1
15.1.26,15.1.26,1
15.2.27,15.2.27,1
16.1.28,16.1.28,1
17.1.29,17.1.29,1
18.1.30,18.1.30,1
18.2.31,18.2.31,1
18.3.32,18.3.32,1
19.1.33,19.1.33,1
19.2.34,19.2.34,1
19.3.35,19.3.35,1
20.1.36,20.1.36,1
20.2.37,20.2.37,1
20.3.38,20.3.38,1
20.4.39,20.4.39,1
20.5.40,20.5.40,1
21.1.41,21.1.41,1
22.1.42,22.1.42,1
23.1.43,23.1.43,1
24.1.44,24.1.44,1
25.1.45,25.1.45,1
26.1.46,26.1.46,1
27.1.47,27.1.47,1
28.1.48,28.1.48,1
29.1.49,29.1.49,1
29.2.50,29.2.50,1
29.3.51,29.3.51,1
29.4.52,29.4.52,1
30.1.53,30.1.53,1
30.2.54,30.2.54,1
30.3.55,30.3.55,1
31.1.56,31.1.56,1
32.1.57,32.1.57,1
33.1.58,33.1.58,1
34.1.59,34.1.59,1
34.2.60,34.2.60,1
35.1.61,35.1.61,1
35.2.62,35.2.62,1
36.1.63,36.1.63,1
37.1.64,37.1.64,1
38.1.65,38.1.65,1
39.1.66,39.1.66,1
40.1.67,40.1.67,1
40.2.68,40.2.68,1
40.3.69,40.3.69,1
41.1.70,41.1.70,1
42.1.71,42.1.71,1
43.1.72,43.1.72,1
43.2.73,43.2.73,1
44.1.74,44.1.74,1
45.1.75,45.1.75,1
46.1.76,46.1.76,1
47.1.77,47.1.77,1
48.1.78,48.1.78,1
48.2.79,48.2.79,1
49.1.80,49.1.80,1
49.2.81,49.2.81,1
50.1.82,50.1.82,1
51.1.83,51.1.83,1
52.1.84,52.1.84,1
52.2.85,52.2.85,1
53.1.86,53.1.86,1
53.2.87,53.2.87,1
54.1.88,54.1.88,1
55.1.89,55.1.89,1
56.1.90,56.1.90,1
57.1.91,57.1.91,1
58.1.92,58.1.92,1
59.1.93,59.1.93,1
60.1.94,60.1.94,1
61.1.95,61.1.95,1
62.1.96,62.1.96,1
63.1.97,63.1.97,1
64.1.98,64.1.98,1
65.1.99,65.1.99,1
66.1.100,66.1.100,1
66.2.101,66.2.101,1
67.1.102,67.1.102,1
68.1.103,68.1.103,1
69.1.104,69.1.104,1
70.1.105,70.1.105,1
71.1.106,71.1.106,1
71.2.107,71.2.107,1
71.3.108,71.3.108,1
71.4.109,71.4.109,1
71.5.110,71.5.110,1
72.1.111,72.1.111,1
72.2.112,72.2.112,1
72.3.113,72.3.113,1
72.4.114,72.4.114,1
72.5.115,72.5.115,1
72.6.116,72.6.116,1
73.1.117,73.1.117,1
73.2.118,73.2.118,1
73.3.119,73.3.119,1
73.4.120,73.4.120,1
73.5.121,73.5.121,1
74.1.122,74.1.122,1
74.2.123,74.2.123,1
74.3.124,74.3.124,1
74.4.125,74.4.125,1
74.5.126,74.5.126,1
75.1.127,75.1.127,1
76.1.128,76.1.128,1
76.2.129,76.2.129,1
76.3.130,76.3.130,1
76.4.131,76.4.131,1
76.5.132,76.5.132,1
77.1.133,77.1.133,1
77.2.134,77.2.134,1
77.3.135,77.3.135,1
77.4.136,77.4.136,1
77.5.137,77.5.137,1
78.1.138,78.1.138,1
78.2.139,78.2.139,1
78.3.140,78.3.140,1
78.4.141,78.4.141,1
78.5.142,78.5.142,1
79.1.143,79.1.143,1
80.1.144,80.1.144,1
80.2.145,80.2.145,1
80.3.146,80.3.146,1
81.1.147,81.1.147,1
81.2.148,81.2.148,1
82.1.149,82.1.149,1
82.2.150,82.2.150,1
83.1.151,83.1.151,1
83.2.152,83.2.152,1
84.1.153,84.1.153,1
84.2.154,84.2.154,1
