1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
4.2.5,4.2.5,1
4.3.6,4.3.6,1
4.4.7,4.4.7,1
4.5.8,_,0
4.6.9,4.5.8,1
5.1.10,5.1.9,1
6.1.11,6.1.10,1
6.2.12,6.2.11,1
6.3.13,6.3.12,1
6.4.14,6.4.13,1
7.1.15,7.1.14,1
7.2.16,7.2.15,1
7.3.17,7.3.16,1
7.4.18,7.4.17,1
8.1.19,8.1.18,1
8.2.20,8.2.19,1
9.1.21,9.1.20,1
10.1.22,10.1.21,1
11.1.23,11.1.22,1
11.2.24,11.2.23,1
11.3.25,11.3.24,1
11.4.26,11.4.25,1
11.5.27,11.5.26,1
11.6.28,11.6.27,1
11.7.29,11.7.28,1
12.1.30,12.1.29,1
12.2.31,12.2.30,1
12.3.32,12.3.31,1
13.1.33,13.1.32,1
13.2.34,13.2.33,1
14.1.35,14.1.34,1
15.1.36,15.1.35,1
16.1.37,16.1.36,1
16.2.38,16.2.37,1
16.3.39,16.3.38,1
16.4.40,16.4.39,1
16.5.41,16.5.40,1
17.1.42,17.1.41,1
18.1.43,18.1.42,1
19.1.44,19.1.43,1
20.1.45,20.1.44,1
21.1.46,21.1.45,1
22.1.47,22.1.46,1
23.1.48,23.1.47,1
24.1.49,24.1.48,1
24.2.50,24.2.49,1
24.3.51,24.3.50,1
24.4.52,24.4.51,1
24.5.53,24.5.52,1
25.1.54,25.1.53,1
25.2.55,25.2.54,1
25.3.56,25.3.55,1
25.4.57,25.4.56,1
25.5.58,25.5.57,1
26.1.59,26.1.58,1
27.1.60,27.1.59,1
27.2.61,27.2.60,1
27.3.62,27.3.61,1
27.4.63,27.4.62,1
27.5.64,27.5.63,1
27.6.65,27.6.64,1
27.7.66,27.7.65,1
27.8.67,27.8.66,1
27.9.68,27.9.67,1
27.10.69,27.10.68,1
28.1.70,28.1.69,1
28.2.71,28.2.70,1
28.3.72,28.3.71,1
28.4.73,28.4.72,1
28.5.74,28.5.73,1
28.6.75,28.6.74,1
28.7.76,28.7.75,1
28.8.77,28.8.76,1
28.9.78,28.9.77,1
28.10.79,28.10.78,1
28.11.80,28.11.79,1
28.12.81,28.12.80,1
28.13.82,28.13.81,1
29.1.83,29.1.82,1
30.1.84,30.1.83,1
31.1.85,31.1.84,1
31.2.86,31.2.85,1
31.3.87,31.3.86,1
31.4.88,31.4.87,1
31.5.89,31.5.88,1
32.1.90,32.1.89,1
33.1.91,33.1.90,1
34.1.92,34.1.91,1
35.1.93,35.1.92,1
36.1.94,36.1.93,1
