_,6.6.15,0
_,6.10.19,0
_,6.11.20,0
_,6.12.21,0
_,7.5.26,0
_,8.2.29,0
_,14.10.56,0
_,14.14.60,0
_,14.20.66,0
1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,0.9536209
5.1.9,5.1.9,1
6.1.10,6.1.10,0.8601806
6.2.11,6.2.11,1
6.3.12,6.3.12,0.8913832
6.4.13,6.4.13,0.6763196
6.5.14,6.5.14,0.68955874
6.6.15,_,0
6.7.16,6.7.16,0.61151826
7.1.17,7.1.22,0.9489151
7.2.18,7.2.23,0.9577788
7.3.19,7.3.24,0.95055294
7.4.20,7.4.25,0.96169734
7.5.21,6.8.17,1
7.6.22,7.6.27,0.9564015
8.1.23,8.1.28,0.83727473
8.2.24,6.9.18,1
8.3.25,_,0
8.4.26,8.3.30,1
8.5.27,12.2.39,0.6490291
8.6.28,8.4.31,1
8.7.29,8.5.32,0.92039645
9.1.30,9.1.33,1
10.1.31,10.1.34,0.9677135
11.1.32,11.1.35,1
11.2.33,11.2.36,1
11.3.34,11.3.37,1
12.1.35,12.1.38,0.9501721
12.2.36,_,0
12.3.37,_,0
12.4.38,12.3.40,1
12.5.39,12.4.41,1
12.6.40,12.5.42,1
12.7.41,12.6.43,1
13.1.42,13.1.44,1
13.2.43,13.2.45,1
13.3.44,13.3.46,0.99863946
14.1.45,14.1.47,1
14.2.46,14.2.48,1
14.3.47,14.3.49,1
14.4.48,14.4.50,1
14.5.49,14.5.51,1
14.6.50,14.6.52,1
14.7.51,14.7.53,1
14.8.52,14.8.54,1
14.9.53,14.9.55,1
14.10.54,14.11.57,1
14.11.55,_,0
14.12.56,14.12.58,1
14.13.57,14.13.59,1
14.14.58,14.15.61,1
14.15.59,_,0
14.16.60,14.16.62,1
14.17.61,14.17.63,1
14.18.62,14.18.64,1
14.19.63,14.19.65,1
14.20.64,14.21.67,1
15.1.65,15.1.68,1
15.2.66,15.2.69,1
15.3.67,15.3.70,1
