_,3.1.3,0
_,4.1.4,0
_,5.1.5,0
_,6.1.6,0
_,7.1.7,0
_,7.2.8,0
_,7.3.9,0
_,8.1.10,0
_,9.1.11,0
_,9.2.12,0
_,9.4.14,0
_,10.1.15,0
_,11.1.16,0
_,12.1.17,0
_,12.2.18,0
_,13.1.19,0
_,14.1.20,0
1.1.1,1.1.1,0.6876967
2.1.2,2.1.2,1
3.1.3,15.1.21,0.6542897
4.1.4,_,0
5.1.5,_,0
5.2.6,9.3.13,1
5.3.7,_,0
6.1.8,16.1.22,1
7.1.9,17.1.23,1
7.2.10,17.2.24,1
7.3.11,17.3.25,1
7.4.12,17.4.26,1
8.1.13,18.1.27,1
9.1.14,19.1.28,1
9.2.15,19.2.29,1
9.3.16,19.3.30,1
10.1.17,20.1.31,1
11.1.18,21.1.32,0.89683783
11.2.19,21.2.33,1
11.3.20,21.3.34,0.92008436
11.4.21,21.4.35,1
11.5.22,21.5.36,0.9032036
11.6.23,21.6.37,1
11.7.24,21.7.38,0.9513765
11.8.25,21.8.39,1
11.9.26,21.9.40,1
12.1.27,22.1.41,1
13.1.28,23.1.42,1
14.1.29,24.1.43,1
15.1.30,25.1.44,1
16.1.31,26.1.45,1
17.1.32,27.1.46,1
18.1.33,28.1.47,1
19.1.34,29.1.48,1
19.2.35,29.2.49,1
19.3.36,29.3.50,1
19.4.37,29.4.51,1
20.1.38,30.1.52,1
20.2.39,30.2.53,1
20.3.40,30.3.54,1
20.4.41,30.4.55,1
20.5.42,30.5.56,1
20.6.43,30.6.57,1
21.1.44,31.1.58,1
22.1.45,32.1.59,0.98174906
23.1.46,33.1.60,1
24.1.47,34.1.61,1
25.1.48,35.1.62,1
25.2.49,35.2.63,1
25.3.50,35.3.64,1
25.4.51,35.4.65,1
25.5.52,35.5.66,1
25.6.53,35.6.67,1
25.7.54,35.7.68,1
25.8.55,35.8.69,1
25.9.56,35.9.70,1
25.10.57,35.10.71,1
25.11.58,35.11.72,1
25.12.59,35.12.73,1
25.13.60,35.13.74,1
25.14.61,35.14.75,1
25.15.62,35.15.76,1
25.16.63,35.16.77,1
25.17.64,35.17.78,1
25.18.65,35.18.79,1
25.19.66,35.19.80,1
25.20.67,35.20.81,1
25.21.68,35.21.82,1
26.1.69,36.1.83,0.8832072
26.2.70,36.2.84,1
26.3.71,36.3.85,1
27.1.72,37.1.86,1
28.1.73,38.1.87,0.88518846
29.1.74,39.1.88,0.9098458
30.1.75,40.1.89,1
31.1.76,41.1.90,1
32.1.77,42.1.91,1
32.2.78,42.2.92,1
32.3.79,42.3.93,1
32.4.80,42.4.94,1
32.5.81,42.5.95,1
32.6.82,42.6.96,1
33.1.83,43.1.97,1
34.1.84,44.1.98,1
34.2.85,44.2.99,1
34.3.86,44.3.100,1
34.4.87,44.4.101,1
34.5.88,44.5.102,1
34.6.89,44.6.103,1
35.1.90,45.1.104,1
36.1.91,46.1.105,1
37.1.92,47.1.106,1
37.2.93,47.2.107,1
37.3.94,47.3.108,1
37.4.95,47.4.109,1
37.5.96,47.5.110,1
37.6.97,47.6.111,1
37.7.98,47.7.112,1
38.1.99,48.1.113,1
39.1.100,49.1.114,1
39.2.101,49.2.115,1
39.3.102,49.3.116,1
39.4.103,49.4.117,1
39.5.104,49.5.118,1
39.6.105,49.6.119,1
39.7.106,49.7.120,1
39.8.107,49.8.121,1
39.9.108,49.9.122,1
39.10.109,49.10.123,1
39.11.110,49.11.124,1
39.12.111,49.12.125,1
39.13.112,49.13.126,1
39.14.113,49.14.127,1
39.15.114,49.15.128,1
39.16.115,49.16.129,1
39.17.116,49.17.130,1
39.18.117,49.18.131,1
39.19.118,49.19.132,1
39.20.119,49.20.133,1
39.21.120,49.21.134,1
39.22.121,49.22.135,1
40.1.122,50.1.136,1
41.1.123,51.1.137,1
42.1.124,52.1.138,1
43.1.125,53.1.139,1
43.2.126,53.2.140,1
43.3.127,53.3.141,1
44.1.128,54.1.142,1
44.2.129,54.2.143,0.762918
44.3.130,54.3.144,0.75238097
44.4.131,54.4.145,1
44.5.132,54.5.146,1
44.6.133,54.6.147,1
44.7.134,54.7.148,1
44.8.135,54.8.149,1
44.9.136,54.9.150,1
44.10.137,54.10.151,1
44.11.138,54.11.152,1
44.12.139,54.12.153,0.949312
44.13.140,54.13.154,0.8306005
45.1.141,55.1.155,1
46.1.142,56.1.156,1
46.2.143,56.2.157,1
46.3.144,56.3.158,1
46.4.145,56.4.159,1
