1.1.1,1.1.1,0.98153853
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
4.2.5,4.2.5,1
4.3.6,4.3.6,1
5.1.7,5.1.7,1
5.2.8,5.2.8,1
6.1.9,6.1.9,1
7.1.10,7.1.10,1
7.2.11,7.2.11,1
7.3.12,7.3.12,1
7.4.13,7.4.13,1
7.5.14,7.5.14,1
8.1.15,8.1.15,1
9.1.16,9.1.16,1
9.2.17,9.2.17,1
9.3.18,9.3.18,1
10.1.19,10.1.19,1
10.2.20,10.2.20,1
10.3.21,10.3.21,1
11.1.22,11.1.22,1
12.1.23,12.1.23,1
13.1.24,13.1.24,1
13.2.25,13.2.25,1
13.3.26,13.3.26,1
13.4.27,13.4.27,1
13.5.28,13.5.28,1
13.6.29,13.6.29,1
13.7.30,13.7.30,1
13.8.31,13.8.31,1
13.9.32,13.9.32,1
14.1.33,14.1.33,1
14.2.34,14.2.34,1
14.3.35,14.3.35,1
15.1.36,15.1.36,1
16.1.37,16.1.37,1
17.1.38,17.1.38,1
18.1.39,18.1.39,1
18.2.40,18.2.40,1
18.3.41,18.3.41,1
19.1.42,19.1.42,1
20.1.43,20.1.43,1
20.2.44,20.2.44,1
20.3.45,20.3.45,1
20.4.46,20.4.46,1
20.5.47,20.5.47,1
20.6.48,20.6.48,1
20.7.49,20.7.49,1
20.8.50,20.8.50,1
21.1.51,21.1.51,1
22.1.52,22.1.52,1
23.1.53,23.1.53,1
24.1.54,24.1.54,1
25.1.55,25.1.55,1
26.1.56,26.1.56,1
26.2.57,26.2.57,1
26.3.58,26.3.58,1
27.1.59,27.1.59,1
27.2.60,27.2.60,1
27.3.61,27.3.61,1
27.4.62,27.4.62,1
27.5.63,27.5.63,1
27.6.64,27.6.64,1
27.7.65,27.7.65,1
27.8.66,27.8.66,1
27.9.67,27.9.67,1
27.10.68,27.10.68,1
27.11.69,27.11.69,1
27.12.70,27.12.70,1
27.13.71,27.13.71,1
27.14.72,27.14.72,1
27.15.73,27.15.73,1
27.16.74,27.16.74,1
27.17.75,27.17.75,1
27.18.76,27.18.76,1
27.19.77,27.19.77,1
27.20.78,27.20.78,1
27.21.79,27.21.79,1
27.22.80,27.22.80,1
27.23.81,27.23.81,1
27.24.82,27.24.82,1
28.1.83,28.1.83,1
29.1.84,29.1.84,1
29.2.85,29.2.85,1
29.3.86,29.3.86,1
29.4.87,29.4.87,1
29.5.88,29.5.88,1
29.6.89,29.6.89,1
29.7.90,29.7.90,1
29.8.91,29.8.91,1
29.9.92,29.9.92,1
29.10.93,29.10.93,1
29.11.94,29.11.94,1
29.12.95,29.12.95,1
29.13.96,29.13.96,1
29.14.97,29.14.97,1
29.15.98,29.15.98,1
29.16.99,29.16.99,1
29.17.100,29.17.100,1
29.18.101,29.18.101,1
29.19.102,29.19.102,1
29.20.103,29.20.103,1
29.21.104,29.21.104,1
29.22.105,29.22.105,1
30.1.106,30.1.106,1
31.1.107,31.1.107,1
31.2.108,31.2.108,1
31.3.109,31.3.109,1
31.4.110,31.4.110,1
31.5.111,31.5.111,1
31.6.112,31.6.112,1
32.1.113,32.1.113,1
33.1.114,33.1.114,1
34.1.115,34.1.115,1
35.1.116,35.1.116,1
36.1.117,36.1.117,1
36.2.118,36.2.118,1
36.3.119,36.3.119,1
37.1.120,37.1.120,1
37.2.121,37.2.121,1
38.1.122,38.1.122,1
39.1.123,39.1.123,1
40.1.124,40.1.124,1
40.2.125,40.2.125,1
40.3.126,40.3.126,1
40.4.127,40.4.127,1
40.5.128,40.5.128,1
41.1.129,41.1.129,1
42.1.130,42.1.130,1
42.2.131,42.2.131,1
42.3.132,42.3.132,1
42.4.133,42.4.133,1
