1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
3.2.4,3.2.4,1
3.3.5,3.3.5,1
3.4.6,3.4.6,1
3.5.7,3.5.7,1
4.1.8,4.1.8,1
4.2.9,4.2.9,1
4.3.10,4.3.10,1
5.1.11,5.1.11,1
6.1.12,6.1.12,1
6.2.13,6.2.13,1
6.3.14,6.3.14,1
7.1.15,7.1.15,1
8.1.16,8.1.16,1
9.1.17,9.1.17,1
9.2.18,9.2.18,1
9.3.19,9.3.19,1
10.1.20,10.1.20,1
10.2.21,10.2.21,1
10.3.22,10.3.22,1
10.4.23,10.4.23,1
10.5.24,10.5.24,1
10.6.25,10.6.25,1
10.7.26,10.7.26,1
10.8.27,10.8.27,1
10.9.28,10.9.28,1
11.1.29,11.1.29,1
11.2.30,11.2.30,1
11.3.31,11.3.31,1
11.4.32,11.4.32,1
11.5.33,11.5.33,1
11.6.34,11.6.34,0.98125005
12.1.35,12.1.35,1
12.2.36,12.2.36,1
12.3.37,12.3.37,1
12.4.38,12.4.38,1
12.5.39,12.5.39,1
12.6.40,12.6.40,1
12.7.41,12.7.41,1
13.1.42,13.1.42,1
14.1.43,14.1.43,1
15.1.44,15.1.44,1
16.1.45,16.1.45,1
16.2.46,16.2.46,1
16.3.47,16.3.47,1
16.4.48,16.4.48,1
16.5.49,16.5.49,1
16.6.50,16.6.50,1
16.7.51,16.7.51,1
