1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,5.1.9,1
6.1.10,6.1.10,1
7.1.11,7.1.11,1
7.2.12,7.2.12,1
7.3.13,7.3.13,1
7.4.14,7.4.14,1
7.5.15,7.5.15,1
8.1.16,8.1.16,1
8.2.17,8.2.17,1
8.3.18,8.3.18,1
8.4.19,8.4.19,1
8.5.20,8.5.20,1
8.6.21,8.6.21,1
8.7.22,8.7.22,1
8.8.23,8.8.23,1
9.1.24,9.1.24,1
9.2.25,9.2.25,1
9.3.26,9.3.26,1
9.4.27,9.4.27,1
9.5.28,9.5.28,1
9.6.29,9.6.29,1
9.7.30,9.7.30,1
9.8.31,9.8.31,1
9.9.32,9.9.32,1
10.1.33,10.1.33,1
11.1.34,11.1.34,1
12.1.35,12.1.35,1
12.2.36,12.2.36,1
12.3.37,12.3.37,1
13.1.38,13.1.38,1
13.2.39,13.2.39,1
13.3.40,13.3.40,1
13.4.41,13.4.41,1
13.5.42,13.5.42,1
13.6.43,13.6.43,1
14.1.44,14.1.44,1
15.1.45,15.1.45,1
16.1.46,16.1.46,1
16.2.47,16.2.47,1
16.3.48,16.3.48,1
17.1.49,17.1.49,1
17.2.50,17.2.50,1
17.3.51,17.3.51,1
18.1.52,18.1.52,1
19.1.53,19.1.53,1
19.2.54,19.2.54,1
19.3.55,19.3.55,1
20.1.56,20.1.56,1
20.2.57,20.2.57,1
20.3.58,20.3.58,1
20.4.59,20.4.59,1
20.5.60,20.5.60,1
20.6.61,20.6.61,1
20.7.62,20.7.62,1
21.1.63,21.1.63,1
22.1.64,22.1.64,1
