1.1.1,1.1.1,1
2.1.2,_,0
3.1.3,_,0
4.1.4,_,0
4.2.5,_,0
4.3.6,_,0
4.4.7,_,0
5.1.8,_,0
6.1.9,_,0
6.2.10,_,0
6.3.11,_,0
7.1.12,_,0
8.1.13,_,0
8.2.14,_,0
8.3.15,_,0
8.4.16,_,0
8.5.17,_,0
9.1.18,_,0
10.1.19,_,0
11.1.20,_,0
12.1.21,_,0
12.2.22,_,0
12.3.23,_,0
12.4.24,_,0
12.5.25,_,0
12.6.26,_,0
12.7.27,_,0
13.1.28,_,0
14.1.29,_,0
14.2.30,_,0
14.3.31,_,0
14.4.32,_,0
14.5.33,_,0
14.6.34,_,0
14.7.35,_,0
14.8.36,_,0
14.9.37,_,0
14.10.38,_,0
14.11.39,_,0
14.12.40,_,0
14.13.41,_,0
14.14.42,_,0
14.15.43,_,0
14.16.44,_,0
14.17.45,_,0
14.18.46,_,0
14.19.47,_,0
14.20.48,_,0
14.21.49,_,0
15.1.50,_,0
16.1.51,_,0
17.1.52,_,0
18.1.53,_,0
18.2.54,_,0
18.3.55,_,0
18.4.56,_,0
