_,1.1.1,0
1.1.1,2.1.2,1
2.1.2,3.1.3,1
3.1.3,4.1.4,1
4.1.4,5.1.5,1
4.2.5,5.2.6,1
4.3.6,5.3.7,1
5.1.7,6.1.8,1
6.1.8,7.1.9,1
7.1.9,8.1.10,1
8.1.10,9.1.11,1
8.2.11,9.2.12,1
8.3.12,9.3.13,1
8.4.13,9.4.14,1
8.5.14,9.5.15,1
8.6.15,9.6.16,1
8.7.16,9.7.17,1
9.1.17,10.1.18,1
10.1.18,11.1.19,1
10.2.19,11.2.20,1
10.3.20,11.3.21,1
11.1.21,12.1.22,1
12.1.22,13.1.23,1
13.1.23,14.1.24,1
14.1.24,15.1.25,1
15.1.25,16.1.26,1
15.2.26,16.2.27,1
15.3.27,16.3.28,1
15.4.28,16.4.29,1
15.5.29,16.5.30,1
15.6.30,16.6.31,1
15.7.31,16.7.32,1
15.8.32,16.8.33,1
15.9.33,16.9.34,1
15.10.34,16.10.35,1
16.1.35,17.1.36,1
17.1.36,18.1.37,1
18.1.37,19.1.38,1
18.2.38,19.2.39,1
18.3.39,19.3.40,1
19.1.40,20.1.41,1
20.1.41,21.1.42,1
21.1.42,22.1.43,1
22.1.43,23.1.44,1
22.2.44,23.2.45,1
22.3.45,23.3.46,1
22.4.46,23.4.47,1
22.5.47,23.5.48,1
23.1.48,24.1.49,1
23.2.49,24.2.50,1
23.3.50,24.3.51,1
24.1.51,25.1.52,1
25.1.52,26.1.53,1
26.1.53,27.1.54,1
26.2.54,27.2.55,1
26.3.55,27.3.56,1
27.1.56,28.1.57,1
28.1.57,29.1.58,1
29.1.58,30.1.59,1
29.2.59,30.2.60,1
29.3.60,30.3.61,1
29.4.61,30.4.62,1
29.5.62,30.5.63,1
29.6.63,30.6.64,1
29.7.64,30.7.65,1
29.8.65,30.8.66,1
29.9.66,30.9.67,1
29.10.67,30.10.68,1
30.1.68,31.1.69,1
30.2.69,31.2.70,1
30.3.70,31.3.71,1
31.1.71,32.1.72,1
32.1.72,33.1.73,1
