1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,5.1.9,1
6.1.10,6.1.10,1
7.1.11,7.1.11,1
7.2.12,7.2.12,1
7.3.13,7.3.13,1
7.4.14,7.4.14,1
8.1.15,8.1.15,1
9.1.16,9.1.16,1
9.2.17,9.2.17,1
9.3.18,9.3.18,1
9.4.19,9.4.19,1
9.5.20,9.5.20,1
10.1.21,10.1.21,1
11.1.22,11.1.22,1
11.2.23,11.2.23,1
11.3.24,11.3.24,1
11.4.25,11.4.25,1
12.1.26,12.1.26,1
12.2.27,12.2.27,0.63327765
12.3.28,_,0
12.4.29,12.3.28,1
12.5.30,12.4.29,1
12.6.31,12.5.30,1
13.1.32,13.1.31,1
13.2.33,13.2.32,1
13.3.34,13.3.33,1
13.4.35,13.4.34,1
13.5.36,13.5.35,1
13.6.37,13.6.36,1
14.1.38,14.1.37,1
15.1.39,15.1.38,1
16.1.40,16.1.39,1
17.1.41,17.1.40,1
18.1.42,18.1.41,1
18.2.43,18.2.42,1
19.1.44,19.1.43,1
20.1.45,20.1.44,1
20.2.46,20.2.45,1
20.3.47,20.3.46,1
20.4.48,20.4.47,1
20.5.49,20.5.48,1
20.6.50,20.6.49,1
20.7.51,20.7.50,1
20.8.52,20.8.51,1
20.9.53,20.9.52,1
20.10.54,20.10.53,1
21.1.55,21.1.54,1
22.1.56,22.1.55,1
23.1.57,23.1.56,1
24.1.58,24.1.57,1
25.1.59,25.1.58,1
26.1.60,26.1.59,1
26.2.61,26.2.60,1
27.1.62,27.1.61,1
27.2.63,27.2.62,1
27.3.64,27.3.63,1
27.4.65,27.4.64,1
28.1.66,28.1.65,1
28.2.67,28.2.66,1
28.3.68,28.3.67,1
29.1.69,29.1.68,1
30.1.70,30.1.69,1
31.1.71,31.1.70,1
31.2.72,31.2.71,1
31.3.73,31.3.72,1
31.4.74,31.4.73,1
31.5.75,31.5.74,1
31.6.76,31.6.75,1
31.7.77,31.7.76,1
32.1.78,32.1.77,1
32.2.79,32.2.78,1
32.3.80,32.3.79,1
32.4.81,32.4.80,1
33.1.82,33.1.81,1
33.2.83,33.2.82,1
33.3.84,33.3.83,1
33.4.85,33.4.84,1
33.5.86,33.5.85,1
33.6.87,33.6.86,1
34.1.88,34.1.87,1
35.1.89,35.1.88,1
35.2.90,35.2.89,1
35.3.91,35.3.90,1
36.1.92,36.1.91,1
37.1.93,37.1.92,1
38.1.94,38.1.93,1
39.1.95,39.1.94,1
39.2.96,39.2.95,1
39.3.97,39.3.96,1
39.4.98,39.4.97,1
40.1.99,40.1.98,1
40.2.100,40.2.99,1
40.3.101,40.3.100,1
40.4.102,40.4.101,1
41.1.103,41.1.102,1
41.2.104,41.2.103,1
41.3.105,41.3.104,1
42.1.106,42.1.105,1
42.2.107,42.2.106,1
42.3.108,42.3.107,1
42.4.109,42.4.108,1
42.5.110,42.5.109,1
42.6.111,42.6.110,1
42.7.112,42.7.111,1
43.1.113,43.1.112,1
43.2.114,43.2.113,1
43.3.115,43.3.114,1
43.4.116,43.4.115,1
43.5.117,43.5.116,1
43.6.118,43.6.117,1
43.7.119,43.7.118,1
43.8.120,43.8.119,1
43.9.121,43.9.120,1
44.1.122,44.1.121,1
45.1.123,45.1.122,1
45.2.124,45.2.123,1
45.3.125,45.3.124,1
46.1.126,46.1.125,1
46.2.127,46.2.126,1
46.3.128,46.3.127,1
46.4.129,46.4.128,1
46.5.130,46.5.129,1
47.1.131,47.1.130,1
48.1.132,48.1.131,1
49.1.133,49.1.132,1
49.2.134,49.2.133,1
49.3.135,49.3.134,1
49.4.136,49.4.135,1
