1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
4.2.9,4.2.9,1
4.3.10,4.3.10,1
4.4.11,4.4.11,1
5.1.12,5.1.12,1
6.1.13,6.1.13,1
7.1.14,7.1.14,1
8.1.15,8.1.15,1
8.2.16,8.2.16,1
9.1.17,9.1.17,1
9.2.18,9.2.18,1
10.1.19,10.1.19,0.9560976
11.1.20,11.1.20,1
11.2.21,11.2.21,1
11.3.22,11.3.22,1
12.1.23,12.1.23,1
13.1.24,13.1.24,1
13.2.25,13.2.25,1
13.3.26,13.3.26,1
14.1.27,14.1.27,1
14.2.28,14.2.28,1
14.3.29,14.3.29,1
15.1.30,15.1.30,1
15.2.31,15.2.31,1
16.1.32,16.1.32,1
16.2.33,16.2.33,1
17.1.34,17.1.34,1
18.1.35,18.1.35,0.9869566
19.1.36,19.1.36,1
19.2.37,19.2.37,1
20.1.38,20.1.38,1
20.2.39,20.2.39,1
21.1.40,21.1.40,1
22.1.41,22.1.41,1
23.1.42,23.1.42,1
24.1.43,24.1.43,0.9514286
25.1.44,25.1.44,1
25.2.45,25.2.45,1
26.1.46,26.1.46,1
27.1.47,27.1.47,0.9425676
28.1.48,28.1.48,1
29.1.49,29.1.49,1
30.1.50,30.1.50,1
31.1.51,31.1.51,1
32.1.52,32.1.52,1
33.1.53,33.1.53,1
33.2.54,33.2.54,1
33.3.55,33.3.55,1
33.4.56,33.4.56,1
33.5.57,33.5.57,1
34.1.58,34.1.58,1
34.2.59,34.2.59,1
35.1.60,35.1.60,1
35.2.61,35.2.61,1
36.1.62,36.1.62,1
36.2.63,36.2.63,1
37.1.64,37.1.64,1
38.1.65,38.1.65,1
39.1.66,39.1.66,1
39.2.67,39.2.67,0.98125005
39.3.68,39.3.68,1
40.1.69,40.1.69,1
40.2.70,40.2.70,1
41.1.71,41.1.71,1
42.1.72,42.1.72,1
43.1.73,43.1.73,1
43.2.74,43.2.74,1
44.1.75,44.1.75,1
45.1.76,45.1.76,1
45.2.77,45.2.77,1
46.1.78,46.1.78,1
46.2.79,46.2.79,1
47.1.80,47.1.80,1
48.1.81,48.1.81,1
49.1.82,49.1.82,1
50.1.83,50.1.83,1
51.1.84,51.1.84,1
52.1.85,52.1.85,1
53.1.86,53.1.86,1
54.1.87,54.1.87,1
54.2.88,54.2.88,1
54.3.89,54.3.89,1
54.4.90,54.4.90,1
54.5.91,54.5.91,1
55.1.92,55.1.92,1
55.2.93,55.2.93,1
55.3.94,55.3.94,1
55.4.95,55.4.95,1
55.5.96,55.5.96,1
56.1.97,56.1.97,1
57.1.98,57.1.98,1
58.1.99,58.1.99,1
59.1.100,59.1.100,1
60.1.101,60.1.101,1
61.1.102,61.1.102,1
61.2.103,61.2.103,1
61.3.104,61.3.104,1
61.4.105,61.4.105,1
61.5.106,61.5.106,1
61.6.107,61.6.107,1
61.7.108,61.7.108,1
61.8.109,61.8.109,1
61.9.110,61.9.110,1
61.10.111,61.10.111,1
61.11.112,61.11.112,1
62.1.113,62.1.113,1
62.2.114,62.2.114,1
62.3.115,62.3.115,0.9854839
