1.1.1,1.1.1,1
2.1.2,_,0
3.1.3,2.1.2,1
4.1.4,3.1.3,1
5.1.5,4.1.4,1
6.1.6,5.1.5,1
7.1.7,6.1.6,1
8.1.8,7.1.7,1
9.1.9,8.1.8,1
10.1.10,9.1.9,1
11.1.11,10.1.10,1
12.1.12,11.1.11,1
13.1.13,12.1.12,1
14.1.14,13.1.13,1
15.1.15,14.1.14,1
16.1.16,15.1.15,1
17.1.17,16.1.16,1
18.1.18,17.1.17,1
19.1.19,18.1.18,1
20.1.20,19.1.19,1
21.1.21,20.1.20,1
22.1.22,21.1.21,1
23.1.23,22.1.22,1
24.1.24,23.1.23,1
25.1.25,24.1.24,1
26.1.26,25.1.25,1
27.1.27,26.1.26,1
28.1.28,27.1.27,1
29.1.29,28.1.28,1
30.1.30,29.1.29,1
31.1.31,30.1.30,1
32.1.32,31.1.31,1
33.1.33,32.1.32,1
34.1.34,33.1.33,1
35.1.35,34.1.34,1
36.1.36,35.1.35,1
37.1.37,36.1.36,1
38.1.38,37.1.37,1
39.1.39,38.1.38,1
40.1.40,39.1.39,1
41.1.41,40.1.40,1
42.1.42,41.1.41,1
42.2.43,41.2.42,1
42.3.44,41.3.43,1
43.1.45,42.1.44,1
44.1.46,43.1.45,1
45.1.47,44.1.46,1
46.1.48,45.1.47,1
47.1.49,46.1.48,1
48.1.50,47.1.49,1
49.1.51,48.1.50,1
50.1.52,49.1.51,1
51.1.53,50.1.52,1
52.1.54,51.1.53,1
53.1.55,52.1.54,1
53.2.56,52.2.55,1
53.3.57,52.3.56,1
