1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
4.2.5,4.2.5,1
4.3.6,4.3.6,1
4.4.7,4.4.7,1
4.5.8,4.5.8,1
5.1.9,5.1.9,1
5.2.10,5.2.10,1
5.3.11,5.3.11,1
6.1.12,6.1.12,1
6.2.13,6.2.13,1
6.3.14,6.3.14,1
7.1.15,7.1.15,1
8.1.16,8.1.16,1
9.1.17,9.1.17,1
9.2.18,9.2.18,1
9.3.19,9.3.19,1
10.1.20,10.1.20,1
11.1.21,11.1.21,1
11.2.22,11.2.22,1
11.3.23,11.3.23,1
12.1.24,12.1.24,1
13.1.25,13.1.25,1
14.1.26,14.1.26,1
14.2.27,14.2.27,1
14.3.28,14.3.28,1
15.1.29,15.1.29,1
16.1.30,16.1.30,1
17.1.31,17.1.31,1
18.1.32,18.1.32,1
18.2.33,18.2.33,1
18.3.34,18.3.34,1
19.1.35,19.1.35,1
20.1.36,20.1.36,1
21.1.37,21.1.37,1
21.2.38,21.2.38,1
21.3.39,21.3.39,1
22.1.40,22.1.40,1
22.2.41,22.2.41,1
22.3.42,22.3.42,1
22.4.43,22.4.43,1
22.5.44,22.5.44,1
22.6.45,22.6.45,1
23.1.46,23.1.46,1
24.1.47,24.1.47,1
24.2.48,24.2.48,1
24.3.49,24.3.49,1
25.1.50,25.1.50,1
25.2.51,25.2.51,1
25.3.52,25.3.52,1
26.1.53,26.1.53,1
26.2.54,26.2.54,1
26.3.55,26.3.55,1
27.1.56,_,0
28.1.57,_,0
