1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,1
5.3.7,5.3.7,1
6.1.8,6.1.8,1
7.1.9,7.1.9,1
7.2.10,7.2.10,1
7.3.11,7.3.11,1
8.1.12,8.1.12,1
8.2.13,8.2.13,1
9.1.14,9.1.14,1
9.2.15,9.2.15,1
9.3.16,9.3.16,1
9.4.17,9.4.17,1
9.5.18,9.5.18,1
9.6.19,9.6.19,1
9.7.20,9.7.20,1
9.8.21,9.8.21,1
10.1.22,10.1.22,1
11.1.23,11.1.23,1
11.2.24,11.2.24,1
11.3.25,11.3.25,1
11.4.26,11.4.26,1
11.5.27,11.5.27,1
11.6.28,11.6.28,1
12.1.29,12.1.29,1
12.2.30,12.2.30,1
13.1.31,13.1.31,1
13.2.32,13.2.32,1
14.1.33,14.1.33,1
15.1.34,15.1.34,1
16.1.35,16.1.35,1
16.2.36,16.2.36,1
16.3.37,16.3.37,1
16.4.38,16.4.38,1
16.5.39,16.5.39,1
16.6.40,16.6.40,1
16.7.41,16.7.41,1
17.1.42,17.1.42,1
18.1.43,18.1.43,1
18.2.44,18.2.44,1
18.3.45,18.3.45,1
18.4.46,18.4.46,1
18.5.47,18.5.47,1
18.6.48,18.6.48,1
18.7.49,18.7.49,1
18.8.50,18.8.50,1
18.9.51,18.9.51,1
19.1.52,19.1.52,1
20.1.53,20.1.53,1
20.2.54,20.2.54,1
21.1.55,21.1.55,1
22.1.56,22.1.56,1
22.2.57,22.2.57,1
