1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
6.1.6,6.1.6,1
6.2.7,6.2.7,1
6.3.8,6.3.8,1
7.1.9,7.1.9,1
7.2.10,7.2.10,1
7.3.11,7.3.11,1
7.4.12,7.4.12,1
7.5.13,7.5.13,1
7.6.14,7.6.14,1
7.7.15,7.7.15,1
7.8.16,7.8.16,1
7.9.17,7.9.17,1
7.10.18,7.10.18,1
8.1.19,8.1.19,1
8.2.20,8.2.20,1
8.3.21,8.3.21,1
8.4.22,8.4.22,1
9.1.23,9.1.23,1
9.2.24,9.2.24,1
9.3.25,9.3.25,1
9.4.26,9.4.26,1
10.1.27,10.1.27,1
10.2.28,10.2.28,1
10.3.29,10.3.29,1
10.4.30,10.4.30,1
10.5.31,10.5.31,1
10.6.32,10.6.32,1
10.7.33,10.7.33,1
10.8.34,10.8.34,1
10.9.35,10.9.35,1
11.1.36,11.1.36,1
11.2.37,11.2.37,1
11.3.38,11.3.38,1
12.1.39,12.1.39,1
12.2.40,12.2.40,1
12.3.41,12.3.41,1
13.1.42,13.1.42,1
14.1.43,14.1.43,1
15.1.44,15.1.44,1
16.1.45,16.1.45,1
17.1.46,17.1.46,1
18.1.47,18.1.47,1
19.1.48,19.1.48,1
20.1.49,20.1.49,1
20.2.50,20.2.50,1
20.3.51,20.3.51,1
20.4.52,20.4.52,1
21.1.53,21.1.53,1
21.2.54,21.2.54,1
21.3.55,21.3.55,1
21.4.56,21.4.56,1
21.5.57,21.5.57,1
22.1.58,22.1.58,1
23.1.59,23.1.59,1
24.1.60,24.1.60,1
24.2.61,24.2.61,1
24.3.62,24.3.62,1
24.4.63,24.4.63,1
24.5.64,24.5.64,0.99278855
