1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
4.2.9,4.2.9,0.9890909
4.3.10,4.3.10,1
4.4.11,4.4.11,1
4.5.12,4.5.12,1
4.6.13,4.6.13,1
4.7.14,4.7.14,1
5.1.15,5.1.15,1
5.2.16,5.2.16,1
5.3.17,5.3.17,1
6.1.18,6.1.18,1
6.2.19,6.2.19,1
6.3.20,6.3.20,1
6.4.21,6.4.21,1
6.5.22,6.5.22,1
7.1.23,7.1.23,1
8.1.24,8.1.24,1
9.1.25,9.1.25,1
9.2.26,9.2.26,1
9.3.27,9.3.27,1
9.4.28,9.4.28,1
9.5.29,9.5.29,1
10.1.30,10.1.30,1
11.1.31,11.1.31,1
11.2.32,11.2.32,1
11.3.33,11.3.33,1
11.4.34,11.4.34,1
11.5.35,11.5.35,1
11.6.36,11.6.36,1
11.7.37,11.7.37,1
11.8.38,11.8.38,1
11.9.39,11.9.39,1
11.10.40,11.10.40,1
11.11.41,11.11.41,1
11.12.42,11.12.42,1
11.13.43,11.13.43,1
11.14.44,11.14.44,1
12.1.45,12.1.45,1
12.2.46,12.2.46,1
12.3.47,12.3.47,1
13.1.48,13.1.48,1
14.1.49,14.1.49,1
15.1.50,15.1.50,1
16.1.51,16.1.51,1
16.2.52,16.2.52,1
16.3.53,16.3.53,1
16.4.54,16.4.54,1
16.5.55,16.5.55,1
16.6.56,16.6.56,1
16.7.57,16.7.57,1
17.1.58,17.1.58,0.982353
18.1.59,18.1.59,1
18.2.60,18.2.60,1
18.3.61,18.3.61,1
18.4.62,18.4.62,1
19.1.63,19.1.63,1
19.2.64,19.2.64,1
19.3.65,19.3.65,1
19.4.66,19.4.66,1
19.5.67,19.5.67,1
20.1.68,20.1.68,1
21.1.69,21.1.69,1
22.1.70,22.1.70,1
22.2.71,22.2.71,1
22.3.72,22.3.72,1
23.1.73,23.1.73,1
24.1.74,24.1.74,1
25.1.75,25.1.75,1
26.1.76,26.1.76,1
26.2.77,26.2.77,1
26.3.78,26.3.78,1
26.4.79,26.4.79,1
27.1.80,27.1.80,1
28.1.81,28.1.81,1
29.1.82,29.1.82,1
29.2.83,29.2.83,1
30.1.84,30.1.84,1
31.1.85,31.1.85,1
32.1.86,32.1.86,1
32.2.87,32.2.87,1
32.3.88,32.3.88,1
33.1.89,33.1.89,1
34.1.90,34.1.90,1
35.1.91,35.1.91,1
36.1.92,36.1.92,1
37.1.93,37.1.93,1
