_,1.1.1,0
_,1.2.2,0
_,1.3.3,0
_,1.4.4,0
_,1.5.5,0
_,16.4.35,0
_,41.3.76,0
1.1.1,_,0
2.1.2,2.1.6,1
3.1.3,3.1.7,1
4.1.4,4.1.8,1
5.1.5,5.1.9,0.7665714
6.1.6,6.1.10,0.9488268
7.1.7,7.1.11,1
8.1.8,8.1.12,0.97798884
9.1.9,9.1.13,1
9.2.10,9.2.14,1
10.1.11,10.1.15,1
10.2.12,10.2.16,1
10.3.13,10.3.17,1
11.1.14,11.1.18,0.9892216
12.1.15,12.1.19,1
12.2.16,12.2.20,1
12.3.17,12.3.21,1
12.4.18,12.4.22,1
13.1.19,13.1.23,0.9967742
14.1.20,14.1.24,1
14.2.21,14.2.25,1
14.3.22,14.3.26,1
14.4.23,14.4.27,1
14.5.24,14.5.28,1
14.6.25,14.6.29,1
15.1.26,15.1.30,1
15.2.27,15.2.31,1
16.1.28,16.1.32,0.9615618
16.2.29,16.2.33,1
16.3.30,16.3.34,1
16.4.31,16.5.36,0.7475799
16.5.32,16.6.37,1
16.6.33,16.7.38,1
17.1.34,17.1.39,1
18.1.35,18.1.40,1
18.2.36,18.2.41,1
18.3.37,18.3.42,1
19.1.38,19.1.43,1
20.1.39,20.1.44,1
20.2.40,20.2.45,1
21.1.41,21.1.46,1
21.2.42,21.2.47,1
22.1.43,22.1.48,1
22.2.44,22.2.49,1
22.3.45,22.3.50,1
23.1.46,23.1.51,1
24.1.47,24.1.52,0.89213485
25.1.48,25.1.53,1
25.2.49,25.2.54,1
26.1.50,26.1.55,1
26.2.51,26.2.56,1
26.3.52,26.3.57,1
27.1.53,27.1.58,1
27.2.54,27.2.59,1
27.3.55,27.3.60,0.9453685
28.1.56,28.1.61,1
29.1.57,29.1.62,0.973531
30.1.58,30.1.63,1
31.1.59,31.1.64,1
32.1.60,32.1.65,0.96400994
33.1.61,33.1.66,0.89035577
34.1.62,34.1.67,0.9708001
35.1.63,35.1.68,1
36.1.64,36.1.69,0.9669174
37.1.65,37.1.70,1
38.1.66,38.1.71,1
39.1.67,39.1.72,1
40.1.68,40.1.73,1
41.1.69,41.1.74,1
41.2.70,41.2.75,1
41.3.71,_,0
42.1.72,42.1.77,1
43.1.73,43.1.78,1
43.2.74,43.2.79,1
43.3.75,43.3.80,1
44.1.76,44.1.81,0.9972093
45.1.77,45.1.82,1
45.2.78,45.2.83,1
46.1.79,46.1.84,1
47.1.80,47.1.85,1
48.1.81,48.1.86,1
49.1.82,49.1.87,0.9970732
50.1.83,50.1.88,1
51.1.84,51.1.89,1
51.2.85,51.2.90,1
52.1.86,52.1.91,1
52.2.87,52.2.92,0.98727757
53.1.88,53.1.93,1
54.1.89,54.1.94,1
55.1.90,55.1.95,0.98234725
56.1.91,56.1.96,1
56.2.92,56.2.97,1
56.3.93,56.3.98,1
57.1.94,57.1.99,0.9724207
58.1.95,58.1.100,1
59.1.96,59.1.101,0.97784823
60.1.97,60.1.102,1
60.2.98,60.2.103,1
60.3.99,60.3.104,1
60.4.100,60.4.105,1
60.5.101,60.5.106,1
60.6.102,60.6.107,1
60.7.103,60.7.108,1
60.8.104,60.8.109,1
60.9.105,60.9.110,1
61.1.106,61.1.111,1
62.1.107,62.1.112,1
