1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,1
5.3.7,5.3.7,1
5.4.8,5.4.8,1
5.5.9,5.5.9,1
5.6.10,5.6.10,1
5.7.11,5.7.11,1
6.1.12,6.1.12,1
7.1.13,7.1.13,1
8.1.14,8.1.14,1
9.1.15,9.1.15,1
10.1.16,10.1.16,1
10.2.17,10.2.17,1
10.3.18,10.3.18,1
10.4.19,10.4.19,1
11.1.20,11.1.20,1
12.1.21,12.1.21,1
13.1.22,13.1.22,1
14.1.23,14.1.23,1
15.1.24,15.1.24,1
16.1.25,16.1.25,1
16.2.26,16.2.26,1
16.3.27,16.3.27,1
17.1.28,17.1.28,1
18.1.29,18.1.29,1
18.2.30,18.2.30,1
18.3.31,18.3.31,1
19.1.32,19.1.32,1
20.1.33,20.1.33,1
21.1.34,21.1.34,1
22.1.35,22.1.35,1
23.1.36,23.1.36,1
24.1.37,24.1.37,1
25.1.38,25.1.38,1
25.2.39,25.2.39,1
25.3.40,25.3.40,1
25.4.41,25.4.41,1
25.5.42,25.5.42,1
25.6.43,25.6.43,1
25.7.44,25.7.44,1
25.8.45,25.8.45,1
25.9.46,25.9.46,1
25.10.47,25.10.47,1
25.11.48,25.11.48,1
25.12.49,25.12.49,1
25.13.50,25.13.50,1
25.14.51,25.14.51,1
26.1.52,26.1.52,1
27.1.53,27.1.53,1
27.2.54,27.2.54,1
27.3.55,27.3.55,1
27.4.56,27.4.56,1
27.5.57,27.5.57,1
27.6.58,27.6.58,1
27.7.59,27.7.59,1
27.8.60,27.8.60,1
27.9.61,27.9.61,1
27.10.62,27.10.62,1
27.11.63,27.11.63,1
27.12.64,27.12.64,1
27.13.65,27.13.65,1
27.14.66,27.14.66,1
27.15.67,27.15.67,1
27.16.68,27.16.68,1
27.17.69,27.17.69,1
27.18.70,27.18.70,1
27.19.71,27.19.71,1
27.20.72,27.20.72,1
27.21.73,27.21.73,1
27.22.74,27.22.74,1
28.1.75,28.1.75,1
29.1.76,29.1.76,1
29.2.77,29.2.77,1
29.3.78,29.3.78,1
29.4.79,29.4.79,1
30.1.80,30.1.80,1
31.1.81,31.1.81,1
32.1.82,32.1.82,1
33.1.83,33.1.83,1
33.2.84,33.2.84,1
33.3.85,33.3.85,1
33.4.86,33.4.86,1
33.5.87,33.5.87,1
33.6.88,33.6.88,1
33.7.89,33.7.89,1
33.8.90,33.8.90,1
33.9.91,33.9.91,1
33.10.92,33.10.92,1
33.11.93,33.11.93,1
33.12.94,33.12.94,1
33.13.95,33.13.95,1
33.14.96,33.14.96,1
34.1.97,34.1.97,1
35.1.98,35.1.98,1
36.1.99,36.1.99,1
37.1.100,37.1.100,1
37.2.101,37.2.101,1
37.3.102,37.3.102,1
37.4.103,37.4.103,1
37.5.104,37.5.104,1
37.6.105,37.6.105,1
37.7.106,37.7.106,1
37.8.107,37.8.107,1
37.9.108,37.9.108,1
37.10.109,37.10.109,1
37.11.110,37.11.110,1
37.12.111,37.12.111,1
37.13.112,37.13.112,1
37.14.113,37.14.113,1
37.15.114,37.15.114,1
37.16.115,37.16.115,1
37.17.116,37.17.116,1
37.18.117,37.18.117,1
37.19.118,37.19.118,1
37.20.119,37.20.119,1
37.21.120,37.21.120,1
37.22.121,37.22.121,1
37.23.122,37.23.122,1
37.24.123,37.24.123,1
38.1.124,38.1.124,1
39.1.125,39.1.125,1
39.2.126,39.2.126,1
39.3.127,39.3.127,1
39.4.128,39.4.128,1
39.5.129,39.5.129,1
39.6.130,39.6.130,1
39.7.131,39.7.131,1
39.8.132,39.8.132,1
39.9.133,39.9.133,1
39.10.134,39.10.134,1
39.11.135,39.11.135,1
39.12.136,39.12.136,1
39.13.137,39.13.137,1
39.14.138,39.14.138,1
39.15.139,39.15.139,1
39.16.140,39.16.140,1
39.17.141,39.17.141,1
39.18.142,39.18.142,1
39.19.143,39.19.143,1
39.20.144,39.20.144,1
39.21.145,39.21.145,1
39.22.146,39.22.146,1
39.23.147,39.23.147,1
39.24.148,39.24.148,1
40.1.149,40.1.149,1
41.1.150,41.1.150,1
42.1.151,42.1.151,1
43.1.152,43.1.152,1
43.2.153,43.2.153,1
43.3.154,43.3.154,1
43.4.155,43.4.155,1
43.5.156,43.5.156,1
43.6.157,43.6.157,1
43.7.158,43.7.158,1
43.8.159,43.8.159,1
43.9.160,43.9.160,1
43.10.161,43.10.161,1
43.11.162,43.11.162,1
43.12.163,43.12.163,1
43.13.164,43.13.164,1
44.1.165,44.1.165,1
45.1.166,45.1.166,1
46.1.167,46.1.167,1
47.1.168,47.1.168,1
47.2.169,47.2.169,1
47.3.170,47.3.170,1
47.4.171,47.4.171,1
47.5.172,47.5.172,1
47.6.173,47.6.173,1
47.7.174,47.7.174,1
47.8.175,47.8.175,1
47.9.176,47.9.176,1
47.10.177,47.10.177,1
47.11.178,47.11.178,1
47.12.179,47.12.179,1
47.13.180,47.13.180,1
47.14.181,47.14.181,1
47.15.182,47.15.182,1
47.16.183,47.16.183,1
47.17.184,47.17.184,1
47.18.185,47.18.185,1
47.19.186,47.19.186,1
48.1.187,48.1.187,1
49.1.188,49.1.188,1
50.1.189,50.1.189,1
51.1.190,51.1.190,1
51.2.191,51.2.191,1
51.3.192,51.3.192,1
51.4.193,51.4.193,1
51.5.194,51.5.194,1
51.6.195,51.6.195,1
51.7.196,51.7.196,1
51.8.197,51.8.197,1
51.9.198,51.9.198,1
51.10.199,51.10.199,1
51.11.200,51.11.200,1
51.12.201,51.12.201,1
51.13.202,51.13.202,1
51.14.203,51.14.203,1
51.15.204,51.15.204,1
51.16.205,51.16.205,1
51.17.206,51.17.206,1
52.1.207,52.1.207,1
53.1.208,53.1.208,1
54.1.209,54.1.209,1
55.1.210,55.1.210,1
55.2.211,55.2.211,1
55.3.212,55.3.212,1
56.1.213,56.1.213,1
