_,12.6.27,0
_,12.11.32,0
_,12.12.33,0
_,24.1.56,0
1.1.1,1.1.1,0.98153853
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,1
5.3.7,5.3.7,1
5.4.8,5.4.8,1
5.5.9,5.5.9,1
6.1.10,6.1.10,1
6.2.11,6.2.11,0.9545339
6.3.12,6.3.12,0.9121937
7.1.13,7.1.13,1
7.2.14,7.2.14,0.9299233
7.3.15,7.3.15,0.8641994
8.1.16,8.1.16,1
9.1.17,9.1.17,1
10.1.18,10.1.18,1
10.2.19,10.2.19,0.94048417
10.3.20,10.3.20,0.76880014
11.1.21,11.1.21,1
12.1.22,12.1.22,1
12.2.23,12.2.23,1
12.3.24,12.3.24,0.87447757
12.4.25,12.4.25,1
12.5.26,_,0
12.6.27,_,0
12.7.28,_,0
12.8.29,_,0
12.9.30,_,0
12.10.31,_,0
12.11.32,_,0
12.12.33,_,0
12.13.34,12.5.26,0.55179584
12.14.35,12.7.28,1
12.15.36,12.8.29,1
12.16.37,12.9.30,1
12.17.38,12.10.31,1
12.18.39,_,0
12.19.40,_,0
13.1.41,_,0
14.1.42,13.1.34,1
15.1.43,14.1.35,0.91974765
16.1.44,15.1.36,1
16.2.45,15.2.37,1
16.3.46,15.3.38,1
17.1.47,16.1.39,1
18.1.48,17.1.40,0.9538462
18.1.48,20.1.45,0.595007
19.1.49,18.1.41,1
20.1.50,19.1.42,1
20.2.51,19.2.43,1
20.3.52,19.3.44,1
21.1.53,20.1.45,0.9454546
22.1.54,21.1.46,1
23.1.55,22.1.47,1
23.2.56,22.2.48,1
23.3.57,22.3.49,1
24.1.58,23.1.50,1
24.2.59,23.2.51,1
24.3.60,23.3.52,1
24.4.61,23.4.53,1
24.5.62,23.5.54,1
24.6.63,23.6.55,1
25.1.64,_,0
26.1.65,25.1.57,1
26.2.66,25.2.58,1
26.3.67,25.3.59,1
27.1.68,26.1.60,1
27.2.69,26.2.61,1
27.3.70,26.3.62,1
28.1.71,27.1.63,1
28.2.72,27.2.64,1
28.3.73,27.3.65,1
29.1.74,28.1.66,1
30.1.75,29.1.67,1
