_,7.5.17,0
_,7.8.20,0
_,10.8.38,0
_,17.5.54,0
_,17.6.55,0
_,17.7.56,0
1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,0.961483
5.1.9,5.1.9,1
6.1.10,6.1.10,0.9586736
6.2.11,6.2.11,1
6.3.12,6.3.12,0.94471496
7.1.13,_,0
7.2.14,7.3.15,0.84010315
7.3.15,7.4.16,1
7.4.16,7.6.18,0.65147805
7.5.17,7.7.19,1
7.6.18,7.9.21,1
7.7.19,7.10.22,1
7.8.20,_,0
8.1.21,8.1.23,0.92831874
8.2.22,7.2.14,0.66225874
8.3.23,8.2.24,0.906347
8.4.24,8.3.25,0.9163629
8.5.25,8.4.26,1
9.1.26,9.1.27,0.95470977
9.2.27,7.2.14,0.66733193
9.3.28,9.2.28,0.9577718
9.4.29,9.3.29,0.9408225
9.5.30,9.4.30,0.94159466
10.1.31,_,0
10.2.32,7.1.13,0.6750477
10.3.33,7.2.14,0.68090403
10.4.34,10.1.31,0.89776146
10.5.35,10.2.32,1
10.6.36,10.3.33,1
10.7.37,10.4.34,0.873864
10.8.38,10.5.35,0.9002894
10.9.39,10.6.36,0.76201725
10.10.40,10.7.37,0.86805516
10.11.41,10.9.39,1
10.12.42,_,0
11.1.43,11.1.40,0.9417516
11.2.44,11.2.41,1
11.3.45,11.3.42,1
12.1.46,12.1.43,1
12.2.47,_,0
12.3.48,12.2.44,0.9746133
12.4.49,12.3.45,1
13.1.50,13.1.46,1
14.1.51,14.1.47,1
15.1.52,15.1.48,0.9900567
16.1.53,16.1.49,1
17.1.54,17.1.50,1
17.2.55,17.2.51,1
17.3.56,17.3.52,1
17.4.57,17.4.53,1
17.5.58,17.8.57,0.68377495
17.6.59,17.9.58,0.90669584
17.7.60,17.10.59,1
17.8.61,17.11.60,1
18.1.62,18.1.61,0.95875454
19.1.63,19.1.62,1
20.1.64,20.1.63,1
20.2.65,20.2.64,1
20.3.66,20.3.65,1
20.4.67,20.4.66,1
21.1.68,21.1.67,0.9719821
22.1.69,22.1.68,0.96937674
22.2.70,22.2.69,1
23.1.71,23.1.70,1
24.1.72,24.1.71,0.8726852
24.2.73,24.2.72,1
25.1.74,25.1.73,0.96971583
26.1.75,26.1.74,0.9745926
26.2.76,26.2.75,1
26.3.77,26.3.76,0.96447974
27.1.78,27.1.77,1
28.1.79,28.1.78,1
28.2.80,_,0
28.3.81,28.2.79,0.9855902
28.4.82,28.3.80,0.96888596
28.5.83,28.4.81,1
29.1.84,29.1.82,1
29.2.85,29.2.83,1
29.3.86,29.3.84,1
29.4.87,29.4.85,1
29.5.88,29.5.86,0.91002226
30.1.89,30.1.87,0.98867965
31.1.90,31.1.88,1
32.1.91,32.1.89,1
32.2.92,32.2.90,1
32.3.93,32.3.91,0.98412085
