1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,1
5.3.7,5.3.7,1
5.4.8,5.4.8,1
5.5.9,5.5.9,1
5.6.10,5.6.10,1
5.7.11,5.7.11,1
5.8.12,5.8.12,1
6.1.13,6.1.13,1
6.2.14,6.2.14,1
7.1.15,7.1.15,1
8.1.16,8.1.16,1
8.2.17,8.2.17,1
8.3.18,8.3.18,1
8.4.19,8.4.19,1
8.5.20,8.5.20,1
8.6.21,8.6.21,1
9.1.22,9.1.22,1
10.1.23,10.1.23,1
11.1.24,11.1.24,1
12.1.25,12.1.25,1
12.2.26,12.2.26,1
12.3.27,12.3.27,1
12.4.28,12.4.28,1
12.5.29,12.5.29,1
12.6.30,12.6.30,1
12.7.31,12.7.31,1
12.8.32,12.8.32,1
13.1.33,13.1.33,1
14.1.34,14.1.34,1
14.2.35,14.2.35,1
14.3.36,14.3.36,1
15.1.37,15.1.37,1
16.1.38,16.1.38,1
16.2.39,16.2.39,1
16.3.40,16.3.40,1
17.1.41,17.1.41,1
18.1.42,18.1.42,1
19.1.43,19.1.43,1
19.2.44,19.2.44,1
19.3.45,19.3.45,1
19.4.46,19.4.46,1
19.5.47,19.5.47,1
19.6.48,19.6.48,1
19.7.49,19.7.49,1
19.8.50,19.8.50,1
20.1.51,20.1.51,1
21.1.52,21.1.52,1
22.1.53,22.1.53,1
22.2.54,22.2.54,1
22.3.55,22.3.55,1
22.4.56,22.4.56,1
22.5.57,22.5.57,1
22.6.58,22.6.58,1
22.7.59,22.7.59,1
22.8.60,22.8.60,1
23.1.61,23.1.61,1
24.1.62,24.1.62,1
25.1.63,25.1.63,1
25.2.64,25.2.64,1
25.3.65,25.3.65,1
26.1.66,26.1.66,1
27.1.67,27.1.67,1
27.2.68,27.2.68,1
27.3.69,27.3.69,1
27.4.70,27.4.70,1
27.5.71,27.5.71,1
27.6.72,27.6.72,1
27.7.73,27.7.73,1
28.1.74,28.1.74,1
29.1.75,29.1.75,1
