1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
3.2.8,3.2.8,1
3.3.9,3.3.9,1
4.1.10,4.1.10,1
4.2.11,4.2.11,1
4.3.12,4.3.12,1
4.4.13,4.4.13,1
4.5.14,4.5.14,1
5.1.15,5.1.15,1
6.1.16,6.1.16,1
6.2.17,6.2.17,1
6.3.18,6.3.18,1
6.4.19,6.4.19,1
6.5.20,6.5.20,1
6.6.21,6.6.21,0.9625
6.7.22,6.7.22,1
6.8.23,6.8.23,1
6.9.24,6.9.24,1
6.10.25,6.10.25,1
6.11.26,6.11.26,1
6.12.27,6.12.27,1
6.13.28,6.13.28,1
6.14.29,6.14.29,1
6.15.30,6.15.30,1
6.16.31,6.16.31,1
6.17.32,6.17.32,1
6.18.33,6.18.33,1
6.19.34,6.19.34,1
6.20.35,6.20.35,1
6.21.36,6.21.36,1
6.22.37,6.22.37,1
6.23.38,6.23.38,1
6.24.39,6.24.39,0.9003042
6.25.40,_,0
7.1.41,7.1.40,1
7.2.42,7.2.41,1
8.1.43,8.1.42,1
8.2.44,8.2.43,0.9402778
8.3.45,8.3.44,1
8.4.46,8.4.45,1
8.5.47,8.5.46,1
8.6.48,8.6.47,1
8.7.49,8.7.48,1
8.8.50,8.8.49,1
8.9.51,8.9.50,1
8.10.52,8.10.51,1
8.11.53,8.11.52,1
8.12.54,8.12.53,1
8.13.55,8.13.54,1
8.14.56,8.14.55,1
8.15.57,8.15.56,1
8.16.58,8.16.57,1
8.17.59,8.17.58,1
8.18.60,8.18.59,1
8.19.61,8.19.60,1
8.20.62,8.20.61,1
8.21.63,8.21.62,1
8.22.64,8.22.63,1
8.23.65,8.23.64,0.9396364
8.24.66,_,0
