_,22.1.34,0
1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,5.1.9,1
5.2.10,5.2.10,1
5.3.11,5.3.11,0.9965117
6.1.12,6.1.12,1
7.1.13,7.1.13,1
8.1.14,8.1.14,1
8.2.15,8.2.15,1
9.1.16,9.1.16,1
10.1.17,10.1.17,1
11.1.18,11.1.18,1
12.1.19,12.1.19,1
12.2.20,12.2.20,1
12.3.21,12.3.21,1
12.4.22,12.4.22,1
12.5.23,12.5.23,1
13.1.24,13.1.24,1
14.1.25,14.1.25,1
14.2.26,14.2.26,1
15.1.27,15.1.27,1
16.1.28,16.1.28,1
17.1.29,17.1.29,1
18.1.30,18.1.30,0.8415179
19.1.31,19.1.31,1
20.1.32,20.1.32,1
21.1.33,21.1.33,1
22.1.34,_,0
23.1.35,23.1.35,1
24.1.36,24.1.36,1
25.1.37,25.1.37,1
25.2.38,25.2.38,1
25.3.39,25.3.39,1
25.4.40,25.4.40,1
26.1.41,26.1.41,1
27.1.42,27.1.42,1
28.1.43,28.1.43,1
28.2.44,28.2.44,1
28.3.45,28.3.45,1
28.4.46,28.4.46,1
29.1.47,29.1.47,1
30.1.48,30.1.48,1
31.1.49,31.1.49,1
31.2.50,31.2.50,1
31.3.51,31.3.51,1
31.4.52,31.4.52,1
31.5.53,31.5.53,1
