1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,5.1.9,1
6.1.10,6.1.10,0.9789474
7.1.11,7.1.11,1
7.2.12,7.2.12,1
7.3.13,7.3.13,1
7.4.14,7.4.14,1
8.1.15,8.1.15,1
9.1.16,9.1.16,0.9960526
10.1.17,10.1.17,1
11.1.18,11.1.18,1
11.2.19,11.2.19,1
11.3.20,11.3.20,1
12.1.21,12.1.21,1
13.1.22,13.1.22,1
14.1.23,14.1.23,0.99464285
15.1.24,15.1.24,1
15.2.25,15.2.25,1
15.3.26,15.3.26,1
16.1.27,16.1.27,1
17.1.28,17.1.28,0.9965117
18.1.29,18.1.29,1
18.2.30,18.2.30,1
18.3.31,18.3.31,1
18.4.32,18.4.32,1
19.1.33,19.1.33,1
20.1.34,20.1.34,1
21.1.35,21.1.35,0.9866667
22.1.36,22.1.36,1
22.2.37,22.2.37,1
22.3.38,22.3.38,1
23.1.39,23.1.39,1
24.1.40,24.1.40,0.9634211
25.1.41,25.1.41,1
25.2.42,25.2.42,1
25.3.43,25.3.43,1
26.1.44,26.1.44,0.95272726
27.1.45,27.1.45,1
27.2.46,27.2.46,1
27.3.47,27.3.47,1
28.1.48,28.1.48,0.97100747
29.1.49,29.1.49,1
29.2.50,29.2.50,1
29.3.51,29.3.51,1
29.4.52,29.4.52,1
30.1.53,30.1.53,0.97965527
31.1.54,31.1.54,0.97222227
31.2.55,31.2.55,1
31.3.56,31.3.56,1
31.4.57,31.4.57,1
31.5.58,31.5.58,1
31.6.59,31.6.59,1
32.1.60,32.1.60,1
33.1.61,33.1.61,1
