1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,5.1.9,1
6.1.10,6.1.10,1
6.2.11,6.2.11,1
6.3.12,6.3.12,1
6.4.13,6.4.13,1
6.5.14,6.5.14,1
6.6.15,6.6.15,1
7.1.16,7.1.16,1
8.1.17,8.1.17,1
9.1.18,9.1.18,1
10.1.19,10.1.19,1
10.2.20,10.2.20,1
10.3.21,10.3.21,1
10.4.22,10.4.22,1
10.5.23,10.5.23,1
11.1.24,11.1.24,1
12.1.25,12.1.25,1
13.1.26,13.1.26,1
14.1.27,14.1.27,1
15.1.28,15.1.28,1
16.1.29,16.1.29,1
16.2.30,16.2.30,1
17.1.31,17.1.31,1
18.1.32,18.1.32,1
18.2.33,18.2.33,1
18.3.34,18.3.34,1
19.1.35,19.1.35,1
20.1.36,20.1.36,1
20.2.37,20.2.37,1
20.3.38,20.3.38,1
21.1.39,21.1.39,1
22.1.40,22.1.40,1
22.2.41,22.2.41,1
22.3.42,22.3.42,1
23.1.43,23.1.43,1
24.1.44,24.1.44,1
25.1.45,25.1.45,1
26.1.46,26.1.46,1
26.2.47,26.2.47,1
27.1.48,27.1.48,1
28.1.49,28.1.49,1
28.2.50,28.2.50,1
28.3.51,28.3.51,1
28.4.52,28.4.52,1
28.5.53,28.5.53,1
29.1.54,29.1.54,1
30.1.55,30.1.55,1
31.1.56,31.1.56,1
31.2.57,31.2.57,1
31.3.58,31.3.58,1
31.4.59,31.4.59,1
31.5.60,31.5.60,1
31.6.61,31.6.61,1
31.7.62,31.7.62,1
31.8.63,31.8.63,1
31.9.64,31.9.64,1
32.1.65,32.1.65,1
33.1.66,33.1.66,1
33.2.67,33.2.67,1
33.3.68,33.3.68,0.96129036
34.1.69,34.1.69,1
35.1.70,35.1.70,1
36.1.71,36.1.71,1
37.1.72,37.1.72,1
38.1.73,38.1.73,1
38.2.74,38.2.74,1
38.3.75,38.3.75,1
38.4.76,38.4.76,1
38.5.77,38.5.77,1
38.6.78,38.6.78,1
38.7.79,38.7.79,1
38.8.80,38.8.80,1
39.1.81,39.1.81,1
40.1.82,40.1.82,1
40.2.83,40.2.83,1
40.3.84,40.3.84,1
40.4.85,40.4.85,1
40.5.86,40.5.86,1
40.6.87,40.6.87,1
40.7.88,40.7.88,1
40.8.89,40.8.89,1
41.1.90,41.1.90,1
42.1.91,42.1.91,1
43.1.92,43.1.92,1
43.2.93,43.2.93,1
43.3.94,43.3.94,1
44.1.95,44.1.95,1
45.1.96,45.1.96,1
45.2.97,45.2.97,1
45.3.98,45.3.98,1
45.4.99,45.4.99,1
45.5.100,45.5.100,1
45.6.101,45.6.101,1
45.7.102,45.7.102,1
46.1.103,46.1.103,1
47.1.104,47.1.104,1
47.2.105,47.2.105,1
47.3.106,47.3.106,1
47.4.107,47.4.107,1
47.5.108,47.5.108,1
47.6.109,47.6.109,1
47.7.110,47.7.110,1
47.8.111,47.8.111,1
47.9.112,47.9.112,1
