1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
4.2.5,4.2.5,1
4.3.6,4.3.6,1
4.4.7,4.4.7,1
4.5.8,4.5.8,1
5.1.9,5.1.9,1
6.1.10,6.1.10,1
7.1.11,7.1.11,1
7.2.12,7.2.12,1
7.3.13,7.3.13,1
8.1.14,8.1.14,1
9.1.15,9.1.15,1
10.1.16,10.1.16,1
11.1.17,11.1.17,1
11.2.18,11.2.18,1
11.3.19,11.3.19,1
11.4.20,11.4.20,1
11.5.21,11.5.21,1
12.1.22,12.1.22,1
13.1.23,13.1.23,1
14.1.24,14.1.24,1
15.1.25,15.1.25,1
15.2.26,15.2.26,1
15.3.27,15.3.27,1
15.4.28,15.4.28,1
15.5.29,15.5.29,1
16.1.30,16.1.30,1
17.1.31,17.1.31,1
18.1.32,18.1.32,1
19.1.33,19.1.33,1
20.1.34,20.1.34,1
21.1.35,21.1.35,1
22.1.36,22.1.36,1
23.1.37,23.1.37,1
24.1.38,24.1.38,1
25.1.39,25.1.39,1
25.2.40,25.2.40,1
26.1.41,26.1.41,1
26.2.42,26.2.42,1
26.3.43,26.3.43,1
26.4.44,26.4.44,1
26.5.45,26.5.45,1
27.1.46,27.1.46,1
27.2.47,27.2.47,1
27.3.48,27.3.48,1
27.4.49,_,0
27.5.50,28.1.49,0.8412513
28.1.51,29.1.50,1
29.1.52,30.1.51,1
30.1.53,31.1.52,1
31.1.54,32.1.53,1
32.1.55,33.1.54,0.71736336
32.2.56,33.2.55,1
32.3.57,33.3.56,1
33.1.58,34.1.57,0.6481074
