1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,5.1.9,1
6.1.10,6.1.10,1
7.1.11,7.1.11,1
8.1.12,8.1.12,1
9.1.13,9.1.13,1
9.2.14,9.2.14,1
10.1.15,10.1.15,1
10.2.16,10.2.16,1
10.3.17,10.3.17,1
11.1.18,11.1.18,1
11.2.19,11.2.19,1
11.3.20,11.3.20,1
12.1.21,12.1.21,1
12.2.22,12.2.22,1
12.3.23,12.3.23,1
13.1.24,13.1.24,1
14.1.25,14.1.25,1
15.1.26,15.1.26,1
16.1.27,16.1.27,1
16.2.28,16.2.28,1
16.3.29,16.3.29,1
17.1.30,_,0
17.2.31,_,0
17.3.32,16.4.30,1
18.1.33,17.1.31,1
19.1.34,18.1.32,1
20.1.35,19.1.33,1
20.2.36,19.2.34,1
20.3.37,19.3.35,1
20.4.38,19.4.36,1
20.5.39,19.5.37,1
20.6.40,19.6.38,1
20.7.41,19.7.39,1
20.8.42,19.8.40,1
20.9.43,19.9.41,1
20.10.44,19.10.42,1
20.11.45,19.11.43,1
20.12.46,19.12.44,1
20.13.47,19.13.45,1
21.1.48,20.1.46,1
21.2.49,20.2.47,1
21.3.50,20.3.48,1
22.1.51,21.1.49,1
23.1.52,22.1.50,1
23.2.53,22.2.51,1
23.3.54,22.3.52,1
23.4.55,22.4.53,1
23.5.56,22.5.54,1
23.6.57,22.6.55,1
23.7.58,22.7.56,1
23.8.59,22.8.57,1
