_,3.1.3,0
_,5.1.5,0
_,6.1.6,0
_,6.3.8,0
_,7.14.22,0
_,8.1.23,0
_,9.1.24,0
_,10.1.31,0
_,10.3.33,0
_,11.2.35,0
_,11.3.36,0
1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,4.1.4,0.63836855
3.2.4,6.2.7,1
3.3.5,_,0
4.1.6,_,0
5.1.7,_,0
5.2.8,_,0
5.3.9,_,0
6.1.10,_,0
7.1.11,_,0
8.1.12,_,0
9.1.13,_,0
10.1.14,_,0
11.1.15,_,0
11.2.16,_,0
11.3.17,7.2.10,1
11.4.18,9.3.26,1
11.5.19,9.4.27,1
11.6.20,9.5.28,1
11.7.21,9.6.29,1
11.8.22,9.7.30,1
11.9.23,_,0
11.10.24,_,0
11.11.25,7.9.17,0.6779132
11.12.26,_,0
11.13.27,_,0
11.14.28,7.8.16,0.55745417
11.15.29,_,0
11.16.30,_,0
11.17.31,7.13.21,0.75859857
12.1.32,_,0
13.1.33,_,0
14.1.34,_,0
15.1.35,_,0
16.1.36,7.1.9,0.7044965
16.2.37,7.4.12,0.9116841
16.2.37,7.6.14,0.7303841
16.3.38,7.3.11,0.87009096
17.1.39,7.5.13,0.6974745
17.2.40,7.6.14,0.92042136
17.3.41,7.7.15,0.83107567
17.4.42,7.8.16,0.7801149
17.5.43,10.2.32,1
17.6.44,7.10.18,0.79100364
17.7.45,7.11.19,0.7250223
17.8.46,7.12.20,0.53560317
18.1.47,_,0
18.2.48,_,0
18.3.49,_,0
18.4.50,_,0
18.5.51,_,0
19.1.52,_,0
20.1.53,_,0
20.2.54,7.13.21,0.8041984
20.3.55,_,0
21.1.56,_,0
22.1.57,_,0
22.2.58,7.13.21,0.7987087
22.2.58,9.2.25,0.772968
22.3.59,_,0
22.4.60,7.9.17,0.7246018
22.4.60,7.13.21,0.7246018
22.5.61,_,0
23.1.62,_,0
24.1.63,_,0
25.1.64,_,0
26.1.65,_,0
26.2.66,_,0
26.3.67,_,0
26.4.68,_,0
26.5.69,_,0
26.6.70,_,0
26.7.71,_,0
26.8.72,_,0
26.9.73,_,0
26.10.74,_,0
26.11.75,_,0
27.1.76,_,0
28.1.77,_,0
29.1.78,_,0
30.1.79,_,0
30.2.80,_,0
30.3.81,_,0
30.4.82,_,0
31.1.83,_,0
32.1.84,11.1.34,1
32.2.85,_,0
32.3.86,_,0
33.1.87,_,0
