1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,1
6.1.7,6.1.7,1
6.2.8,6.2.8,1
6.3.9,6.3.9,1
7.1.10,7.1.10,1
7.2.11,7.2.11,1
8.1.12,8.1.12,1
9.1.13,9.1.13,1
9.2.14,9.2.14,1
10.1.15,10.1.15,1
11.1.16,11.1.16,1
12.1.17,12.1.17,1
12.2.18,12.2.18,1
13.1.19,13.1.19,1
13.2.20,13.2.20,1
13.3.21,13.3.21,1
13.4.22,13.4.22,1
13.5.23,13.5.23,1
13.6.24,13.6.24,1
13.7.25,13.7.25,1
13.8.26,13.8.26,1
13.9.27,13.9.27,1
13.10.28,13.10.28,1
13.11.29,13.11.29,1
14.1.30,14.1.30,1
14.2.31,14.2.31,1
15.1.32,15.1.32,1
15.2.33,15.2.33,1
15.3.34,15.3.34,1
15.4.35,15.4.35,1
16.1.36,16.1.36,1
16.2.37,16.2.37,1
17.1.38,17.1.38,1
18.1.39,18.1.39,1
18.2.40,18.2.40,1
18.3.41,18.3.41,1
18.4.42,18.4.42,1
19.1.43,19.1.43,1
20.1.44,20.1.44,1
20.2.45,20.2.45,1
20.3.46,20.3.46,1
21.1.47,21.1.47,1
21.2.48,21.2.48,1
21.3.49,21.3.49,1
21.4.50,21.4.50,1
21.5.51,21.5.51,1
22.1.52,22.1.52,1
22.2.53,22.2.53,1
22.3.54,22.3.54,1
