1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
4.2.5,4.2.5,1
4.3.6,4.3.6,1
4.4.7,4.4.7,1
4.5.8,4.5.8,1
5.1.9,5.1.9,1
6.1.10,6.1.10,1
7.1.11,7.1.11,1
7.2.12,7.2.12,1
7.3.13,7.3.13,1
7.4.14,7.4.14,1
7.5.15,7.5.15,1
7.6.16,7.6.16,1
7.7.17,7.7.17,1
7.8.18,7.8.18,1
7.9.19,7.9.19,1
7.10.20,7.10.20,1
7.11.21,7.11.21,1
7.12.22,7.12.22,1
7.13.23,7.13.23,1
7.14.24,7.14.24,1
7.15.25,7.15.25,1
7.16.26,7.16.26,1
7.17.27,7.17.27,1
7.18.28,7.18.28,1
7.19.29,7.19.29,1
7.20.30,7.20.30,1
7.21.31,7.21.31,1
7.22.32,7.22.32,1
8.1.33,8.1.33,1
9.1.34,9.1.34,1
10.1.35,10.1.35,1
10.2.36,10.2.36,1
10.3.37,10.3.37,1
10.4.38,10.4.38,1
11.1.39,11.1.39,1
12.1.40,12.1.40,1
12.2.41,12.2.41,1
12.3.42,12.3.42,1
12.4.43,12.4.43,1
13.1.44,13.1.44,1
14.1.45,14.1.45,1
15.1.46,15.1.46,1
16.1.47,16.1.47,1
17.1.48,17.1.48,1
18.1.49,18.1.49,1
18.2.50,18.2.50,1
18.3.51,18.3.51,1
18.4.52,18.4.52,1
18.5.53,18.5.53,1
18.6.54,18.6.54,1
19.1.55,19.1.55,1
20.1.56,20.1.56,1
21.1.57,21.1.57,1
22.1.58,22.1.58,1
22.2.59,22.2.59,1
23.1.60,23.1.60,1
24.1.61,24.1.61,1
25.1.62,25.1.62,1
26.1.63,26.1.63,1
27.1.64,27.1.64,1
27.2.65,27.2.65,1
27.3.66,27.3.66,1
27.4.67,27.4.67,1
27.5.68,27.5.68,1
28.1.69,28.1.69,1
29.1.70,29.1.70,1
30.1.71,30.1.71,1
31.1.72,31.1.72,1
32.1.73,32.1.73,1
33.1.74,33.1.74,1
34.1.75,34.1.75,1
