1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,1
5.3.7,5.3.7,1
6.1.8,6.1.8,1
6.2.9,6.2.9,1
7.1.10,7.1.10,1
7.2.11,7.2.11,1
7.3.12,7.3.12,1
8.1.13,8.1.13,1
8.2.14,8.2.14,1
8.3.15,8.3.15,1
8.4.16,8.4.16,1
8.5.17,8.5.17,1
8.6.18,8.6.18,1
8.7.19,8.7.19,1
8.8.20,8.8.20,1
8.9.21,8.9.21,1
8.10.22,8.10.22,1
8.11.23,8.11.23,1
9.1.24,9.1.24,1
10.1.25,10.1.25,1
10.2.26,10.2.26,1
10.3.27,10.3.27,1
11.1.28,11.1.28,1
12.1.29,12.1.29,1
13.1.30,13.1.30,1
13.2.31,13.2.31,1
13.3.32,13.3.32,1
13.4.33,13.4.33,1
13.5.34,13.5.34,1
14.1.35,14.1.35,1
15.1.36,15.1.36,1
16.1.37,16.1.37,1
17.1.38,17.1.38,1
18.1.39,18.1.39,1
18.2.40,18.2.40,1
18.3.41,18.3.41,1
18.4.42,18.4.42,1
18.5.43,18.5.43,1
18.6.44,18.6.44,1
18.7.45,18.7.45,1
19.1.46,19.1.46,1
20.1.47,20.1.47,1
20.2.48,20.2.48,1
20.3.49,20.3.49,1
20.4.50,20.4.50,1
20.5.51,20.5.51,1
20.6.52,20.6.52,1
20.7.53,20.7.53,1
