_,1.1.1,0
_,10.1.18,0
_,56.1.106,0
1.1.1,_,0
1.2.2,_,0
1.3.3,_,0
1.4.4,_,0
1.5.5,_,0
2.1.6,2.1.2,1
3.1.7,3.1.3,0.89760274
4.1.8,4.1.4,1
5.1.9,5.1.5,0.8943914
6.1.10,6.1.6,1
7.1.11,7.1.7,1
7.2.12,7.2.8,1
7.3.13,7.3.9,0.9490077
8.1.14,8.1.10,1
9.1.15,_,0
10.1.16,_,0
11.1.17,9.1.11,1
11.2.18,9.2.12,1
11.3.19,9.3.13,1
11.4.20,9.4.14,1
11.5.21,9.5.15,1
11.6.22,9.6.16,1
11.7.23,9.7.17,1
12.1.24,_,0
12.2.25,10.2.19,1
13.1.26,11.1.20,1
13.2.27,11.2.21,1
14.1.28,12.1.22,1
14.2.29,12.2.23,1
15.1.30,13.1.24,0.9931035
16.1.31,14.1.25,1
16.2.32,14.2.26,1
17.1.33,15.1.27,1
18.1.34,16.1.28,1
19.1.35,17.1.29,1
20.1.36,18.1.30,0.98941183
21.1.37,19.1.31,1
21.2.38,19.2.32,1
22.1.39,20.1.33,1
22.2.40,20.2.34,1
23.1.41,21.1.35,1
23.2.42,21.2.36,1
24.1.43,22.1.37,1
25.1.44,23.1.38,1
25.2.45,23.2.39,1
25.3.46,23.3.40,1
26.1.47,24.1.41,0.9972851
27.1.48,25.1.42,1
28.1.49,26.1.43,1
28.2.50,26.2.44,1
28.3.51,26.3.45,1
29.1.52,27.1.46,1
29.2.53,27.2.47,1
29.3.54,27.3.48,1
29.4.55,27.4.49,1
29.5.56,27.5.50,1
29.6.57,27.6.51,1
30.1.58,28.1.52,1
31.1.59,29.1.53,1
32.1.60,30.1.54,0.9963856
33.1.61,31.1.55,1
33.2.62,31.2.56,1
34.1.63,32.1.57,1
34.2.64,32.2.58,1
35.1.65,33.1.59,1
35.2.66,33.2.60,1
36.1.67,34.1.61,1
37.1.68,35.1.62,0.9717155
38.1.69,36.1.63,0.9546476
38.2.70,36.2.64,0.84084606
39.1.71,37.1.65,1
40.1.72,38.1.66,1
40.2.73,38.2.67,0.9727018
41.1.74,39.1.68,1
42.1.75,40.1.69,1
42.2.76,40.2.70,1
43.1.77,41.1.71,1
43.2.78,41.2.72,1
44.1.79,42.1.73,0.9607255
45.1.80,43.1.74,0.9394659
45.2.81,_,0
45.3.82,43.2.75,1
46.1.83,44.1.76,0.9579803
47.1.84,45.1.77,1
47.2.85,45.2.78,1
47.3.86,45.3.79,1
47.4.87,45.4.80,1
48.1.88,46.1.81,1
48.2.89,46.2.82,1
49.1.90,47.1.83,0.95980394
50.1.91,48.1.84,1
51.1.92,49.1.85,1
52.1.93,50.1.86,0.9228847
52.2.94,50.2.87,1
52.3.95,50.3.88,1
52.4.96,50.4.89,1
52.5.97,50.5.90,1
52.6.98,50.6.91,1
52.7.99,50.7.92,1
52.8.100,50.8.93,1
52.9.101,50.9.94,1
52.10.102,50.10.95,1
52.11.103,50.11.96,1
52.12.104,50.12.97,0.9903226
53.1.105,51.1.98,1
53.2.106,51.2.99,1
54.1.107,52.1.100,1
54.2.108,52.2.101,1
55.1.109,53.1.102,1
55.2.110,53.2.103,1
56.1.111,54.1.104,0.8878313
57.1.112,55.1.105,1
58.1.113,_,0
59.1.114,57.1.107,1
59.2.115,57.2.108,1
59.3.116,57.3.109,1
60.1.117,58.1.110,1
60.2.118,58.2.111,1
61.1.119,59.1.112,1
62.1.120,60.1.113,1
62.2.121,60.2.114,1
62.3.122,60.3.115,1
63.1.123,61.1.116,1
64.1.124,62.1.117,1
65.1.125,63.1.118,1
66.1.126,64.1.119,1
67.1.127,65.1.120,1
68.1.128,66.1.121,0.99464285
69.1.129,67.1.122,1
70.1.130,68.1.123,1
71.1.131,69.1.124,1
