1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,_,0
4.1.8,_,0
5.1.9,_,0
5.2.10,_,0
6.1.11,_,0
7.1.12,_,0
8.1.13,_,0
8.2.14,_,0
8.3.15,_,0
8.4.16,_,0
8.5.17,_,0
9.1.18,_,0
9.2.19,_,0
10.1.20,_,0
11.1.21,_,0
11.2.22,_,0
11.3.23,_,0
11.4.24,_,0
12.1.25,_,0
13.1.26,_,0
13.2.27,_,0
13.3.28,_,0
13.4.29,_,0
13.5.30,_,0
13.6.31,_,0
14.1.32,_,0
15.1.33,_,0
16.1.34,_,0
16.2.35,_,0
16.3.36,_,0
16.4.37,_,0
16.5.38,_,0
16.6.39,_,0
16.7.40,_,0
16.8.41,_,0
16.9.42,_,0
17.1.43,_,0
17.2.44,_,0
17.3.45,_,0
17.4.46,_,0
17.5.47,_,0
17.6.48,_,0
17.7.49,_,0
18.1.50,_,0
18.2.51,_,0
18.3.52,_,0
18.4.53,_,0
18.5.54,_,0
19.1.55,_,0
19.2.56,_,0
19.3.57,_,0
19.4.58,_,0
19.5.59,_,0
19.6.60,_,0
19.7.61,_,0
20.1.62,_,0
20.2.63,_,0
20.3.64,_,0
20.4.65,_,0
20.5.66,_,0
20.6.67,_,0
20.7.68,_,0
20.8.69,_,0
20.9.70,_,0
21.1.71,_,0
22.1.72,_,0
22.2.73,_,0
22.3.74,_,0
22.4.75,_,0
22.5.76,_,0
22.6.77,_,0
22.7.78,_,0
22.8.79,_,0
22.9.80,_,0
22.10.81,_,0
22.11.82,_,0
