1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,1
5.3.7,5.3.7,1
5.4.8,5.4.8,1
6.1.9,6.1.9,1
7.1.10,7.1.10,1
7.2.11,7.2.11,1
7.3.12,7.3.12,1
7.4.13,7.4.13,1
7.5.14,7.5.14,1
7.6.15,7.6.15,1
7.7.16,7.7.16,1
7.8.17,7.8.17,1
7.9.18,7.9.18,1
7.10.19,7.10.19,1
7.11.20,7.11.20,1
7.12.21,7.12.21,1
7.13.22,7.13.22,1
7.14.23,7.14.23,1
7.15.24,7.15.24,1
8.1.25,8.1.25,0.9631542
9.1.26,9.1.26,0.7982833
10.1.27,10.1.27,1
10.2.28,10.2.28,1
10.3.29,10.3.29,1
10.4.30,10.4.30,1
10.5.31,10.5.31,1
11.1.32,11.1.32,1
11.2.33,11.2.33,1
11.3.34,11.3.34,0.9486989
12.1.35,12.1.35,1
13.1.36,13.1.36,1
14.1.37,14.1.37,1
14.2.38,14.2.38,1
14.3.39,14.3.39,1
14.4.40,14.4.40,1
14.5.41,14.5.41,1
14.6.42,14.6.42,1
14.7.43,14.7.43,1
15.1.44,15.1.44,1
16.1.45,16.1.45,1
16.2.46,16.2.46,1
16.3.47,16.3.47,1
16.4.48,16.4.48,1
16.5.49,16.5.49,1
16.6.50,16.6.50,1
16.7.51,16.7.51,1
17.1.52,17.1.52,1
18.1.53,18.1.53,1
18.2.54,18.2.54,1
18.3.55,18.3.55,1
18.4.56,18.4.56,1
18.5.57,18.5.57,1
18.6.58,18.6.58,1
18.7.59,18.7.59,1
19.1.60,19.1.60,0.94274104
20.1.61,20.1.61,1
21.1.62,21.1.62,0.911663
22.1.63,22.1.63,1
23.1.64,23.1.64,1
23.2.65,23.2.65,1
23.3.66,23.3.66,0.9088436
24.1.67,24.1.67,1
24.2.68,24.2.68,1
24.3.69,24.3.69,1
24.4.70,24.4.70,1
24.5.71,24.5.71,1
25.1.72,25.1.72,1
26.1.73,26.1.73,1
27.1.74,27.1.74,1
27.2.75,27.2.75,1
27.3.76,27.3.76,1
27.4.77,27.4.77,1
27.5.78,27.5.78,1
27.6.79,27.6.79,1
27.7.80,27.7.80,1
28.1.81,28.1.81,0.97040355
