_,1.1.1,0
1.1.1,_,0
1.2.2,_,0
1.3.3,_,0
1.4.4,_,0
1.5.5,_,0
2.1.6,2.1.2,1
3.1.7,3.1.3,1
4.1.8,4.1.4,1
5.1.9,5.1.5,1
6.1.10,6.1.6,1
6.2.11,6.2.7,1
6.3.12,6.3.8,1
6.4.13,6.4.9,1
6.5.14,6.5.10,1
6.6.15,6.6.11,1
6.7.16,6.7.12,1
6.8.17,6.8.13,1
6.9.18,6.9.14,1
7.1.19,7.1.15,1
7.2.20,7.2.16,1
7.3.21,7.3.17,1
8.1.22,8.1.18,1
8.2.23,8.2.19,1
9.1.24,9.1.20,1
10.1.25,10.1.21,1
11.1.26,11.1.22,1
11.2.27,11.2.23,1
11.3.28,11.3.24,1
12.1.29,12.1.25,1
12.2.30,12.2.26,1
12.3.31,12.3.27,1
12.4.32,12.4.28,1
12.5.33,12.5.29,1
12.6.34,12.6.30,1
12.7.35,12.7.31,1
12.8.36,12.8.32,1
12.9.37,12.9.33,1
12.10.38,12.10.34,1
12.11.39,12.11.35,1
12.12.40,12.12.36,1
12.13.41,12.13.37,1
12.14.42,12.14.38,1
12.15.43,12.15.39,1
12.16.44,12.16.40,1
12.17.45,12.17.41,1
12.18.46,12.18.42,1
12.19.47,12.19.43,1
13.1.48,13.1.44,1
14.1.49,14.1.45,1
14.2.50,14.2.46,1
15.1.51,15.1.47,1
16.1.52,16.1.48,1
17.1.53,17.1.49,1
18.1.54,18.1.50,1
19.1.55,19.1.51,1
19.2.56,19.2.52,1
19.3.57,19.3.53,1
20.1.58,20.1.54,1
20.2.59,20.2.55,1
20.3.60,20.3.56,1
20.4.61,20.4.57,1
20.5.62,20.5.58,1
20.6.63,20.6.59,1
20.7.64,20.7.60,1
20.8.65,20.8.61,1
20.9.66,20.9.62,1
20.10.67,20.10.63,1
20.11.68,20.11.64,1
20.12.69,20.12.65,1
20.13.70,20.13.66,1
20.14.71,20.14.67,1
20.15.72,20.15.68,1
20.16.73,20.16.69,1
20.17.74,20.17.70,1
20.18.75,20.18.71,1
20.19.76,20.19.72,1
20.20.77,20.20.73,1
21.1.78,21.1.74,1
21.2.79,21.2.75,1
22.1.80,22.1.76,1
22.2.81,22.2.77,1
22.3.82,22.3.78,1
22.4.83,22.4.79,1
23.1.84,23.1.80,1
23.2.85,23.2.81,1
23.3.86,23.3.82,1
23.4.87,23.4.83,1
23.5.88,23.5.84,1
24.1.89,24.1.85,1
25.1.90,25.1.86,1
26.1.91,26.1.87,1
27.1.92,27.1.88,1
27.2.93,27.2.89,1
27.3.94,27.3.90,1
27.4.95,27.4.91,1
27.5.96,27.5.92,1
