_,16.1.68,0
_,16.2.69,0
_,16.3.70,0
1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,1
5.3.7,5.3.7,1
5.4.8,5.4.8,1
5.5.9,5.5.9,1
5.6.10,5.6.10,1
5.7.11,5.7.11,1
6.1.12,6.1.12,1
7.1.13,7.1.13,1
7.2.14,7.2.14,1
7.3.15,7.3.15,1
7.4.16,7.4.16,1
7.5.17,7.5.17,1
7.6.18,7.6.18,1
7.7.19,7.7.19,1
7.8.20,7.8.20,1
7.9.21,7.9.21,1
7.10.22,7.10.22,1
7.11.23,7.11.23,1
7.12.24,7.12.24,1
7.13.25,7.13.25,1
7.14.26,7.14.26,1
8.1.27,8.1.27,1
9.1.28,_,0
9.2.29,9.1.28,1
9.3.30,9.2.29,1
9.4.31,9.3.30,1
9.5.32,9.4.31,1
9.6.33,9.5.32,1
9.7.34,9.6.33,1
9.8.35,9.7.34,1
9.9.36,9.8.35,1
9.10.37,9.9.36,1
9.11.38,9.10.37,1
9.12.39,9.11.38,1
9.13.40,9.12.39,1
9.14.41,9.13.40,1
9.15.42,9.14.41,1
9.16.43,9.15.42,1
9.17.44,9.16.43,1
9.18.45,9.17.44,1
9.19.46,9.18.45,1
9.20.47,9.19.46,1
9.21.48,9.20.47,1
9.22.49,9.21.48,1
9.23.50,9.22.49,1
10.1.51,10.1.50,1
11.1.52,11.1.51,1
12.1.53,12.1.52,1
13.1.54,13.1.53,1
13.2.55,13.2.54,1
13.3.56,13.3.55,1
13.4.57,13.4.56,1
13.5.58,13.5.57,1
13.6.59,13.6.58,1
13.7.60,13.7.59,1
13.8.61,13.8.60,1
13.9.62,13.9.61,1
13.10.63,13.10.62,1
13.11.64,13.11.63,1
13.12.65,13.12.64,1
13.13.66,13.13.65,1
13.14.67,13.14.66,1
14.1.68,14.1.67,1
