1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
4.2.5,4.2.5,1
4.3.6,4.3.6,1
4.4.7,4.4.7,1
5.1.8,5.1.8,1
6.1.9,6.1.9,1
6.2.10,6.2.10,1
6.3.11,6.3.11,1
6.4.12,6.4.12,1
6.5.13,6.5.13,1
6.6.14,6.6.14,1
6.7.15,6.7.15,1
6.8.16,6.8.16,1
7.1.17,7.1.17,1
8.1.18,8.1.18,1
8.2.19,8.2.19,1
8.3.20,8.3.20,1
8.4.21,8.4.21,1
9.1.22,9.1.22,1
10.1.23,10.1.23,1
11.1.24,11.1.24,1
11.2.25,11.2.25,1
11.3.26,11.3.26,1
11.4.27,11.4.27,1
12.1.28,12.1.28,0.7497976
13.1.29,13.1.29,1
13.2.30,13.2.30,1
13.3.31,13.3.31,1
13.4.32,13.4.32,1
13.5.33,13.5.33,1
13.6.34,13.6.34,1
13.7.35,13.7.35,1
13.8.36,13.8.36,1
13.9.37,13.9.37,1
13.10.38,13.10.38,1
13.11.39,13.11.39,1
13.12.40,13.12.40,1
13.13.41,13.13.41,1
13.14.42,13.14.42,1
13.15.43,13.15.43,1
13.16.44,13.16.44,1
13.17.45,13.17.45,1
13.18.46,13.18.46,1
14.1.47,14.1.47,0.86791044
