1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
4.2.5,4.2.5,1
4.3.6,4.3.6,1
5.1.7,5.1.7,1
5.2.8,5.2.8,1
5.3.9,5.3.9,1
6.1.10,6.1.10,1
6.2.11,6.2.11,1
6.3.12,6.3.12,1
7.1.13,7.1.13,1
8.1.14,8.1.14,1
9.1.15,_,0
10.1.16,9.1.15,1
11.1.17,10.1.16,1
11.2.18,10.2.17,1
11.3.19,10.3.18,1
11.4.20,10.4.19,1
12.1.21,11.1.20,1
12.2.22,11.2.21,1
12.3.23,11.3.22,1
12.4.24,_,0
12.5.25,_,0
13.1.26,_,0
14.1.27,12.1.23,1
15.1.28,13.1.24,1
15.2.29,13.2.25,1
15.3.30,13.3.26,1
15.4.31,13.4.27,1
16.1.32,14.1.28,1
17.1.33,15.1.29,1
18.1.34,16.1.30,1
19.1.35,17.1.31,1
20.1.36,18.1.32,1
21.1.37,19.1.33,1
22.1.38,20.1.34,1
23.1.39,21.1.35,1
24.1.40,22.1.36,1
24.2.41,22.2.37,1
25.1.42,23.1.38,1
26.1.43,24.1.39,1
27.1.44,25.1.40,1
28.1.45,26.1.41,1
29.1.46,27.1.42,1
30.1.47,28.1.43,1
30.2.48,28.2.44,1
30.3.49,28.3.45,1
31.1.50,29.1.46,1
32.1.51,30.1.47,1
32.2.52,30.2.48,1
32.3.53,30.3.49,1
33.1.54,31.1.50,1
34.1.55,32.1.51,1
35.1.56,33.1.52,1
36.1.57,34.1.53,1
37.1.58,35.1.54,0.982353
37.2.59,35.2.55,1
37.3.60,35.3.56,1
37.4.61,35.4.57,1
37.5.62,35.5.58,1
37.6.63,35.6.59,1
37.7.64,35.7.60,1
37.8.65,35.8.61,1
38.1.66,36.1.62,1
39.1.67,37.1.63,1
39.2.68,37.2.64,1
39.3.69,37.3.65,1
40.1.70,38.1.66,1
40.2.71,38.2.67,1
40.3.72,38.3.68,1
40.4.73,38.4.69,1
41.1.74,39.1.70,1
41.2.75,39.2.71,1
41.3.76,39.3.72,1
