1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
6.1.6,6.1.6,1
7.1.7,7.1.7,1
7.2.8,7.2.8,1
7.3.9,7.3.9,1
8.1.10,8.1.10,1
8.2.11,8.2.11,1
8.3.12,8.3.12,1
9.1.13,9.1.13,1
9.2.14,9.2.14,1
10.1.15,10.1.15,1
10.2.16,10.2.16,1
10.3.17,10.3.17,1
11.1.18,11.1.18,1
11.2.19,11.2.19,1
12.1.20,12.1.20,1
13.1.21,13.1.21,1
14.1.22,14.1.22,1
14.2.23,14.2.23,1
14.3.24,14.3.24,1
15.1.25,15.1.25,1
16.1.26,16.1.26,1
16.2.27,16.2.27,1
16.3.28,16.3.28,1
17.1.29,17.1.29,1
18.1.30,18.1.30,1
18.2.31,18.2.31,1
18.3.32,18.3.32,1
18.4.33,18.4.33,1
19.1.34,19.1.34,1
20.1.35,20.1.35,1
21.1.36,21.1.36,1
22.1.37,22.1.37,1
23.1.38,23.1.38,1
23.2.39,23.2.39,1
24.1.40,24.1.40,1
25.1.41,25.1.41,1
25.2.42,25.2.42,1
26.1.43,26.1.43,1
27.1.44,27.1.44,1
27.2.45,27.2.45,1
28.1.46,28.1.46,1
29.1.47,29.1.47,1
30.1.48,30.1.48,1
31.1.49,31.1.49,1
31.2.50,31.2.50,1
31.3.51,31.3.51,1
32.1.52,32.1.52,1
33.1.53,33.1.53,1
34.1.54,34.1.54,1
35.1.55,35.1.55,1
35.2.56,35.2.56,1
35.3.57,35.3.57,1
35.4.58,35.4.58,1
35.5.59,35.5.59,1
35.6.60,35.6.60,1
35.7.61,35.7.61,1
