1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
6.1.6,6.1.6,1
6.2.7,6.2.7,1
6.3.8,6.3.8,1
6.4.9,6.4.9,1
6.5.10,6.5.10,1
6.6.11,6.6.11,1
6.7.12,6.7.12,1
6.8.13,6.8.13,1
6.9.14,6.9.14,1
6.10.15,6.10.15,1
6.11.16,6.11.16,1
6.12.17,6.12.17,1
7.1.18,7.1.18,0.5436337
8.1.19,_,0
9.1.20,_,0
9.2.21,8.1.19,1
10.1.22,7.1.18,0.6646365
11.1.23,7.1.18,0.47172415
11.2.24,9.1.20,1
12.1.25,10.1.21,1
13.1.26,11.1.22,1
14.1.27,12.1.23,1
15.1.28,13.1.24,1
16.1.29,14.1.25,1
16.2.30,14.2.26,1
16.3.31,14.3.27,1
17.1.32,15.1.28,1
18.1.33,16.1.29,1
19.1.34,17.1.30,1
19.2.35,17.2.31,1
19.3.36,17.3.32,1
19.4.37,17.4.33,1
19.5.38,17.5.34,1
19.6.39,17.6.35,1
19.7.40,17.7.36,1
19.8.41,17.8.37,1
19.9.42,17.9.38,1
19.10.43,17.10.39,1
19.11.44,17.11.40,1
19.12.45,17.12.41,1
19.13.46,17.13.42,1
20.1.47,18.1.43,1
21.1.48,19.1.44,1
21.2.49,19.2.45,1
21.3.50,19.3.46,1
22.1.51,20.1.47,1
23.1.52,21.1.48,1
24.1.53,22.1.49,1
25.1.54,23.1.50,1
26.1.55,24.1.51,1
26.2.56,24.2.52,1
27.1.57,25.1.53,1
28.1.58,26.1.54,1
28.2.59,26.2.55,1
