_,4.1.6,0
1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
3.2.4,3.2.4,1
3.3.5,3.3.5,1
4.1.6,_,0
5.1.7,_,0
6.1.8,_,0
6.2.9,_,0
6.3.10,_,0
6.4.11,_,0
6.5.12,_,0
6.6.13,_,0
7.1.14,_,0
8.1.15,_,0
9.1.16,_,0
10.1.17,_,0
10.2.18,_,0
10.3.19,_,0
10.4.20,_,0
10.5.21,_,0
10.6.22,_,0
10.7.23,_,0
10.8.24,_,0
11.1.25,_,0
12.1.26,_,0
12.2.27,_,0
12.3.28,_,0
12.4.29,_,0
12.5.30,_,0
12.6.31,_,0
12.7.32,_,0
12.8.33,_,0
12.9.34,_,0
12.10.35,_,0
12.11.36,_,0
12.12.37,_,0
12.13.38,_,0
13.1.39,_,0
14.1.40,_,0
14.2.41,_,0
15.1.42,_,0
16.1.43,_,0
17.1.44,_,0
18.1.45,_,0
