1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,5.1.9,1
6.1.10,6.1.10,1
6.2.11,6.2.11,1
6.3.12,6.3.12,1
6.4.13,6.4.13,1
7.1.14,7.1.14,1
8.1.15,8.1.15,1
8.2.16,8.2.16,1
8.3.17,8.3.17,1
8.4.18,8.4.18,1
8.5.19,8.5.19,1
8.6.20,8.6.20,1
9.1.21,9.1.21,1
9.2.22,9.2.22,1
10.1.23,10.1.23,1
11.1.24,11.1.24,1
11.2.25,11.2.25,1
11.3.26,11.3.26,1
11.4.27,11.4.27,1
11.5.28,11.5.28,1
11.6.29,11.6.29,1
11.7.30,11.7.30,1
11.8.31,11.8.31,1
11.9.32,11.9.32,1
12.1.33,12.1.33,1
12.2.34,12.2.34,1
13.1.35,13.1.35,1
14.1.36,14.1.36,1
15.1.37,15.1.37,1
15.2.38,15.2.38,1
15.3.39,15.3.39,1
16.1.40,16.1.40,1
17.1.41,17.1.41,1
17.2.42,17.2.42,1
17.3.43,17.3.43,1
17.4.44,17.4.44,1
17.5.45,17.5.45,1
18.1.46,18.1.46,1
19.1.47,19.1.47,1
19.2.48,_,0
19.3.49,20.1.48,1
20.1.50,21.1.49,1
20.2.51,21.2.50,1
20.3.52,21.3.51,1
20.4.53,21.4.52,1
21.1.54,22.1.53,1
22.1.55,23.1.54,1
22.2.56,23.2.55,1
23.1.57,24.1.56,1
24.1.58,25.1.57,1
25.1.59,26.1.58,1
26.1.60,27.1.59,1
27.1.61,28.1.60,1
28.1.62,29.1.61,1
29.1.63,30.1.62,1
29.2.64,30.2.63,1
29.3.65,30.3.64,1
30.1.66,31.1.65,1
31.1.67,32.1.66,1
32.1.68,33.1.67,1
32.2.69,33.2.68,1
32.3.70,33.3.69,1
33.1.71,34.1.70,1
34.1.72,35.1.71,1
35.1.73,36.1.72,1
36.1.74,37.1.73,1
37.1.75,38.1.74,1
37.2.76,38.2.75,1
37.3.77,38.3.76,1
38.1.78,39.1.77,1
39.1.79,40.1.78,1
39.2.80,40.2.79,1
39.3.81,40.3.80,1
40.1.82,41.1.81,1
40.2.83,41.2.82,1
40.3.84,41.3.83,1
41.1.85,42.1.84,1
42.1.86,43.1.85,1
42.2.87,43.2.86,1
42.3.88,43.3.87,1
42.4.89,43.4.88,1
42.5.90,43.5.89,1
