_,1.1.1,0
_,1.2.2,0
_,1.3.3,0
_,1.4.4,0
_,1.5.5,0
1.1.1,_,0
2.1.2,2.1.6,1
3.1.3,3.1.7,1
3.2.4,3.2.8,1
3.3.5,3.3.9,1
4.1.6,4.1.10,1
5.1.7,5.1.11,1
6.1.8,6.1.12,1
7.1.9,7.1.13,1
7.2.10,7.2.14,1
7.3.11,7.3.15,1
8.1.12,8.1.16,1
9.1.13,9.1.17,1
10.1.14,10.1.18,1
10.2.15,10.2.19,1
10.3.16,10.3.20,1
11.1.17,11.1.21,1
12.1.18,12.1.22,1
12.2.19,12.2.23,1
12.3.20,12.3.24,1
12.4.21,12.4.25,1
12.5.22,12.5.26,1
12.6.23,12.6.27,1
13.1.24,13.1.28,1
14.1.25,14.1.29,1
15.1.26,15.1.30,1
16.1.27,16.1.31,1
17.1.28,17.1.32,1
18.1.29,18.1.33,1
19.1.30,19.1.34,1
19.2.31,19.2.35,1
19.3.32,19.3.36,1
19.4.33,19.4.37,1
19.5.34,19.5.38,1
19.6.35,19.6.39,1
19.7.36,19.7.40,1
19.8.37,19.8.41,1
19.9.38,19.9.42,1
20.1.39,20.1.43,1
21.1.40,21.1.44,1
22.1.41,22.1.45,1
22.2.42,22.2.46,1
22.3.43,22.3.47,1
23.1.44,23.1.48,1
24.1.45,24.1.49,1
24.2.46,24.2.50,1
24.3.47,24.3.51,1
24.4.48,24.4.52,1
24.5.49,24.5.53,1
25.1.50,25.1.54,1
26.1.51,26.1.55,1
27.1.52,27.1.56,1
28.1.53,28.1.57,1
28.2.54,28.2.58,1
28.3.55,28.3.59,1
28.4.56,28.4.60,1
28.5.57,28.5.61,1
28.6.58,28.6.62,1
28.7.59,28.7.63,1
28.8.60,28.8.64,1
28.9.61,28.9.65,1
28.10.62,28.10.66,1
28.11.63,28.11.67,1
28.12.64,28.12.68,1
29.1.65,29.1.69,1
30.1.66,30.1.70,1
31.1.67,31.1.71,1
32.1.68,32.1.72,1
32.2.69,32.2.73,1
32.3.70,32.3.74,1
32.4.71,32.4.75,1
33.1.72,33.1.76,1
34.1.73,34.1.77,1
34.2.74,34.2.78,1
34.3.75,34.3.79,1
35.1.76,35.1.80,1
